ID	sample_1	sample_2	sample_3
ENSGMOG00000000001	2146	3670	3786
ENSGMOG00000000002	213	252	337
ENSGMOG00000000003	30	66	97
ENSGMOG00000000004	1243	1364	2365
ENSGMOG00000000005	655	1275	1203
ENSGMOG00000000006	2134	2192	3559
ENSGMOG00000000007	363	299	437
ENSGMOG00000000008	5	8	7
ENSGMOG00000000009	2118	2117	3350
ENSGMOG00000000010	23	4	39
ENSGMOG00000000011	1551	1808	2405
ENSGMOG00000000012	2050	1692	3477
ENSGMOG00000000013	4	2	11
ENSGMOG00000000014	48539	63262	82131
ENSGMOG00000000015	1551	1640	2635
ENSGMOG00000000016	1914	2379	3044
ENSGMOG00000000017	9	16	37
ENSGMOG00000000018	141	132	232
ENSGMOG00000000019	2806	3606	4542
ENSGMOG00000000020	1235	1165	1920
ENSGMOG00000000021	9316	11426	15166
ENSGMOG00000000022	64	86	142
ENSGMOG00000000023	590	626	999
ENSGMOG00000000024	9	11	15
ENSGMOG00000000025	509	738	896
ENSGMOG00000000026	56	40	68
ENSGMOG00000000027	9	9	8
ENSGMOG00000000028	3593	4065	6274
ENSGMOG00000000029	155	158	186
ENSGMOG00000000030	1	0	0
ENSGMOG00000000031	1	2	0
ENSGMOG00000000032	1204	1342	1882
ENSGMOG00000000033	443	545	706
ENSGMOG00000000034	209	240	315
ENSGMOG00000000035	16	17	20
ENSGMOG00000000036	570	789	1139
ENSGMOG00000000037	32	23	56
ENSGMOG00000000038	4483	5391	7068
ENSGMOG00000000039	2	3	21
ENSGMOG00000000040	113	111	188
ENSGMOG00000000041	387	222	408
ENSGMOG00000000042	1879	2220	2974
ENSGMOG00000000043	0	0	0
ENSGMOG00000000044	3581	4550	5767
ENSGMOG00000000045	1341	1972	2306
ENSGMOG00000000046	1134	1176	1881
ENSGMOG00000000047	4060	5791	6870
ENSGMOG00000000048	67	84	111
ENSGMOG00000000049	2	4	13
ENSGMOG00000000050	1631	2135	2711
ENSGMOG00000000051	1151	2234	2708
ENSGMOG00000000052	26	11	41
ENSGMOG00000000053	1529	1607	2407
ENSGMOG00000000054	1172	1427	1937
ENSGMOG00000000055	1246	1256	1888
ENSGMOG00000000056	2478	2915	4425
ENSGMOG00000000057	102	140	176
ENSGMOG00000000058	7	8	4
ENSGMOG00000000059	59	65	114
ENSGMOG00000000060	35	41	66
ENSGMOG00000000061	1178	1317	1915
ENSGMOG00000000062	192	200	308
ENSGMOG00000000063	853	906	1632
ENSGMOG00000000064	257	223	581
ENSGMOG00000000065	1343	1775	2401
ENSGMOG00000000066	0	0	0
ENSGMOG00000000067	87	108	122
ENSGMOG00000000068	513	519	831
ENSGMOG00000000069	15808	19784	25496
ENSGMOG00000000070	953	1179	1520
ENSGMOG00000000071	5589	6448	10258
ENSGMOG00000000072	2	1	0
ENSGMOG00000000073	1293	1272	2022
ENSGMOG00000000074	4	2	7
ENSGMOG00000000075	3249	3162	5197
ENSGMOG00000000076	15	17	41
ENSGMOG00000000077	1975	2379	3242
ENSGMOG00000000078	0	0	0
ENSGMOG00000000079	0	0	7
ENSGMOG00000000080	3	17	12
ENSGMOG00000000081	14	11	10
ENSGMOG00000000082	2612	2876	4339
ENSGMOG00000000083	935	1032	1365
ENSGMOG00000000084	229	324	435
ENSGMOG00000000085	5325	5123	8548
ENSGMOG00000000086	64	85	113
ENSGMOG00000000087	686	675	1242
ENSGMOG00000000088	12177	14368	22474
ENSGMOG00000000089	16	18	41
ENSGMOG00000000090	2929	3224	4838
ENSGMOG00000000091	517	592	950
ENSGMOG00000000092	3710	4326	6304
ENSGMOG00000000093	1153	1179	1902
ENSGMOG00000000094	65	71	110
ENSGMOG00000000095	9341	10868	15491
ENSGMOG00000000096	1939	1741	2885
ENSGMOG00000000097	25	49	93
ENSGMOG00000000098	2363	2486	4177
ENSGMOG00000000099	1537	1610	2673
ENSGMOG00000000100	1225	1428	2170
ENSGMOG00000000101	245	305	349
ENSGMOG00000000102	75	78	139
ENSGMOG00000000103	158	230	283
ENSGMOG00000000104	746	972	1195
ENSGMOG00000000105	27	78	76
ENSGMOG00000000106	0	0	0
ENSGMOG00000000107	1128	1966	2519
ENSGMOG00000000108	261	287	491
ENSGMOG00000000109	23	34	52
ENSGMOG00000000110	2	9	16
ENSGMOG00000000111	695	712	1002
ENSGMOG00000000112	941	1011	1514
ENSGMOG00000000113	102441	110746	171047
ENSGMOG00000000114	44958	64190	82891
ENSGMOG00000000115	18	14	24
ENSGMOG00000000116	569	677	862
ENSGMOG00000000117	5300	6504	10310
ENSGMOG00000000118	6370	7695	10710
ENSGMOG00000000119	34	27	58
ENSGMOG00000000120	68	104	95
ENSGMOG00000000121	2	0	0
ENSGMOG00000000122	18	14	2
ENSGMOG00000000123	46	59	71
ENSGMOG00000000124	35	60	119
ENSGMOG00000000125	0	0	3
ENSGMOG00000000126	409	502	741
ENSGMOG00000000127	755	1203	1479
ENSGMOG00000000128	900	740	1496
ENSGMOG00000000129	467	568	820
ENSGMOG00000000130	1	0	2
ENSGMOG00000000131	1422	1802	2282
ENSGMOG00000000132	361	411	634
ENSGMOG00000000133	17110	21737	26982
ENSGMOG00000000134	4	14	7
ENSGMOG00000000135	1154	1664	2108
ENSGMOG00000000136	613	688	973
ENSGMOG00000000137	6913	5840	10849
ENSGMOG00000000138	1985	2673	3292
ENSGMOG00000000139	154	176	257
ENSGMOG00000000140	164	221	256
ENSGMOG00000000141	95	112	133
ENSGMOG00000000142	933	1227	1760
ENSGMOG00000000143	60	51	79
ENSGMOG00000000144	3	6	1
ENSGMOG00000000145	225	317	432
ENSGMOG00000000146	11748	16514	19452
ENSGMOG00000000147	1	1	7
ENSGMOG00000000148	142	134	214
ENSGMOG00000000149	0	0	0
ENSGMOG00000000150	368	287	354
ENSGMOG00000000151	221	288	301
ENSGMOG00000000152	71	64	110
ENSGMOG00000000153	58	104	180
ENSGMOG00000000154	3304	5571	7560
ENSGMOG00000000155	715	733	1017
ENSGMOG00000000156	50	39	86
ENSGMOG00000000157	1	4	11
ENSGMOG00000000158	1870	2579	3407
ENSGMOG00000000159	314	406	502
ENSGMOG00000000160	184	212	324
ENSGMOG00000000161	1657	2121	2970
ENSGMOG00000000162	15	9	27
ENSGMOG00000000163	0	1	4
ENSGMOG00000000164	2551	3303	4175
ENSGMOG00000000165	353	474	622
ENSGMOG00000000166	91	78	179
ENSGMOG00000000167	54	51	64
ENSGMOG00000000168	92	81	115
ENSGMOG00000000169	26	10	28
ENSGMOG00000000170	112	123	173
ENSGMOG00000000171	649	781	1065
