ID	sample_7	sample_8	sample_9
ENSGMOG00000000001	2081	4907	1677
ENSGMOG00000000002	228	389	201
ENSGMOG00000000003	42	201	45
ENSGMOG00000000004	1131	2637	1023
ENSGMOG00000000005	703	1577	657
ENSGMOG00000000006	2020	4135	1777
ENSGMOG00000000007	220	809	275
ENSGMOG00000000008	0	1	0
ENSGMOG00000000009	2058	4279	1670
ENSGMOG00000000010	45	120	41
ENSGMOG00000000011	1357	3129	1107
ENSGMOG00000000012	2743	5908	2314
ENSGMOG00000000013	6	27	4
ENSGMOG00000000014	56919	120443	40535
ENSGMOG00000000015	1597	3464	1289
ENSGMOG00000000016	2259	4764	1609
ENSGMOG00000000017	32	61	25
ENSGMOG00000000018	165	290	128
ENSGMOG00000000019	3342	6766	2414
ENSGMOG00000000020	1252	2604	1069
ENSGMOG00000000021	9891	20717	6847
ENSGMOG00000000022	85	209	70
ENSGMOG00000000023	536	1022	427
ENSGMOG00000000024	33	87	9
ENSGMOG00000000025	596	1340	383
ENSGMOG00000000026	46	124	38
ENSGMOG00000000027	6	10	10
ENSGMOG00000000028	4220	9394	2851
ENSGMOG00000000029	171	446	133
ENSGMOG00000000030	0	1	0
ENSGMOG00000000031	0	2	4
ENSGMOG00000000032	1525	2943	1103
ENSGMOG00000000033	411	905	367
ENSGMOG00000000034	224	421	175
ENSGMOG00000000035	26	54	18
ENSGMOG00000000036	683	1587	567
ENSGMOG00000000037	56	132	42
ENSGMOG00000000038	4856	11243	3749
ENSGMOG00000000039	2	7	5
ENSGMOG00000000040	183	954	212
ENSGMOG00000000041	355	446	166
ENSGMOG00000000042	1759	3662	1236
ENSGMOG00000000043	3	1	0
ENSGMOG00000000044	4264	9136	2994
ENSGMOG00000000045	1558	3575	1147
ENSGMOG00000000046	1139	2339	868
ENSGMOG00000000047	4538	10420	3394
ENSGMOG00000000048	65	127	45
ENSGMOG00000000049	8	8	2
ENSGMOG00000000050	1831	4017	1325
ENSGMOG00000000051	1410	2791	994
ENSGMOG00000000052	24	81	26
ENSGMOG00000000053	1679	3577	1251
ENSGMOG00000000054	1048	2455	897
ENSGMOG00000000055	1304	2731	1024
ENSGMOG00000000056	2615	6375	1953
ENSGMOG00000000057	160	249	107
ENSGMOG00000000058	7	26	6
ENSGMOG00000000059	67	182	48
ENSGMOG00000000060	42	102	32
ENSGMOG00000000061	1349	2811	1149
ENSGMOG00000000062	312	641	257
ENSGMOG00000000063	1014	1789	839
ENSGMOG00000000064	376	875	276
ENSGMOG00000000065	1686	3275	1150
ENSGMOG00000000066	0	0	0
ENSGMOG00000000067	90	136	76
ENSGMOG00000000068	558	1235	428
ENSGMOG00000000069	17390	36641	12706
ENSGMOG00000000070	1017	2050	748
ENSGMOG00000000071	6032	12247	4815
ENSGMOG00000000072	2	7	0
ENSGMOG00000000073	1419	3054	1112
ENSGMOG00000000074	3	7	2
ENSGMOG00000000075	3694	7762	3053
ENSGMOG00000000076	23	32	19
ENSGMOG00000000077	1994	4751	1609
ENSGMOG00000000078	0	0	0
ENSGMOG00000000079	0	0	0
ENSGMOG00000000080	15	32	6
ENSGMOG00000000081	6	41	9
ENSGMOG00000000082	3091	6576	2402
ENSGMOG00000000083	1040	2085	797
ENSGMOG00000000084	352	723	251
ENSGMOG00000000085	4851	9696	3773
ENSGMOG00000000086	59	165	53
ENSGMOG00000000087	1267	2674	1088
ENSGMOG00000000088	13923	29734	10073
ENSGMOG00000000089	71	182	48
ENSGMOG00000000090	2957	5586	2394
ENSGMOG00000000091	803	1684	569
ENSGMOG00000000092	3727	7713	2581
ENSGMOG00000000093	1259	2515	949
ENSGMOG00000000094	58	118	49
ENSGMOG00000000095	10152	22981	8195
ENSGMOG00000000096	1870	3898	1663
ENSGMOG00000000097	61	159	52
ENSGMOG00000000098	2520	5297	2095
ENSGMOG00000000099	1550	3260	1173
ENSGMOG00000000100	1305	2905	1168
ENSGMOG00000000101	333	685	220
ENSGMOG00000000102	69	163	53
ENSGMOG00000000103	221	557	166
ENSGMOG00000000104	872	1848	557
ENSGMOG00000000105	25	74	25
ENSGMOG00000000106	2	1	0
ENSGMOG00000000107	1431	2713	850
ENSGMOG00000000108	415	876	302
ENSGMOG00000000109	33	52	22
ENSGMOG00000000110	7	9	4
ENSGMOG00000000111	705	1411	537
ENSGMOG00000000112	918	1724	651
ENSGMOG00000000113	102306	197517	81527
ENSGMOG00000000114	44533	98805	27378
ENSGMOG00000000115	29	48	7
ENSGMOG00000000116	594	1337	478
ENSGMOG00000000117	6602	15595	5440
ENSGMOG00000000118	7101	14981	4909
ENSGMOG00000000119	60	137	14
ENSGMOG00000000120	93	157	40
ENSGMOG00000000121	2	1	0
ENSGMOG00000000122	2	149	6
ENSGMOG00000000123	86	225	81
ENSGMOG00000000124	95	195	64
ENSGMOG00000000125	0	1	0
ENSGMOG00000000126	763	1588	591
ENSGMOG00000000127	1121	2410	810
ENSGMOG00000000128	1022	2197	821
ENSGMOG00000000129	576	1220	369
ENSGMOG00000000130	4	2	0
ENSGMOG00000000131	1353	2955	964
ENSGMOG00000000132	394	851	294
ENSGMOG00000000133	18934	41179	13912
ENSGMOG00000000134	9	21	4
ENSGMOG00000000135	1320	3030	957
ENSGMOG00000000136	604	1293	569
ENSGMOG00000000137	7272	16668	6368
ENSGMOG00000000138	2226	4550	1485
ENSGMOG00000000139	201	455	183
ENSGMOG00000000140	431	1092	259
ENSGMOG00000000141	64	138	48
ENSGMOG00000000142	1508	2774	999
ENSGMOG00000000143	23	93	25
ENSGMOG00000000144	16	38	9
ENSGMOG00000000145	321	640	252
ENSGMOG00000000146	12696	27806	8588
ENSGMOG00000000147	3	8	3
ENSGMOG00000000148	138	223	93
ENSGMOG00000000149	0	0	0
ENSGMOG00000000150	223	583	185
ENSGMOG00000000151	203	391	152
ENSGMOG00000000152	46	108	42
ENSGMOG00000000153	76	64	104
ENSGMOG00000000154	3270	6680	1734
ENSGMOG00000000155	642	1447	557
ENSGMOG00000000156	34	81	25
ENSGMOG00000000157	2	1	0
ENSGMOG00000000158	2289	5356	1735
ENSGMOG00000000159	255	547	244
ENSGMOG00000000160	200	395	242
ENSGMOG00000000161	2111	4766	1733
ENSGMOG00000000162	21	22	11
ENSGMOG00000000163	6	10	0
ENSGMOG00000000164	2827	6410	1967
ENSGMOG00000000165	395	805	236
ENSGMOG00000000166	79	202	64
ENSGMOG00000000167	54	90	29
ENSGMOG00000000168	186	377	126
ENSGMOG00000000169	19	42	11
ENSGMOG00000000170	98	256	66
ENSGMOG00000000171	756	1749	521
ENSGMOG00000000172	1618	3870	1394
ENSGMOG00000000173	487	1000	346
ENSGMOG00000000174	1908	4615	1400
ENSGMOG00000000175	602	1301	526
ENSGMOG00000000176	1209	2460	972
ENSGMOG00000000177	775	1746	634
ENSGMOG00000000178	4349	10282	2982
ENSGMOG00000000179	2125	4384	1612
ENSGMOG00000000180	211	558	173
ENSGMOG00000000181	2258	5220	1605
ENSGMOG00000000182	282	673	230
ENSGMOG00000000183	0	0	0
ENSGMOG00000000184	8234	17952	5719
ENSGMOG00000000185	176	450	174
ENSGMOG00000000186	1505	3362	1056
ENSGMOG00000000187	0	1	0
ENSGMOG00000000188	501	1145	298
ENSGMOG00000000189	13971	30488	9913
ENSGMOG00000000190	1071	2283	826
ENSGMOG00000000191	1	0	0
ENSGMOG00000000192	84	159	53
ENSGMOG00000000193	4114	8376	3212
ENSGMOG00000000194	2699	5543	2274
ENSGMOG00000000195	980	2311	832
ENSGMOG00000000196	21	9	4
ENSGMOG00000000197	39	75	19
ENSGMOG00000000198	3161	7071	2485
ENSGMOG00000000199	52	138	49
ENSGMOG00000000200	355	669	255
ENSGMOG00000000201	1348	2909	1124
ENSGMOG00000000202	735	1638	552
ENSGMOG00000000203	23	34	12
ENSGMOG00000000204	1888	3918	1265
ENSGMOG00000000205	113	272	71
ENSGMOG00000000206	313	611	224
ENSGMOG00000000207	548	1221	502
ENSGMOG00000000208	3631	8327	2709
ENSGMOG00000000209	1046	2319	789
ENSGMOG00000000210	2	2	0
ENSGMOG00000000211	17	37	3
ENSGMOG00000000212	569	1562	524
ENSGMOG00000000213	8	14	9
ENSGMOG00000000214	2	15	3
ENSGMOG00000000215	14	21	3
ENSGMOG00000000216	100	178	70
ENSGMOG00000000217	544	1241	432
ENSGMOG00000000218	8422	22204	5998
ENSGMOG00000000219	0	1	0
ENSGMOG00000000220	3	24	2
ENSGMOG00000000221	988	2030	828
ENSGMOG00000000222	330	669	245
ENSGMOG00000000223	1916	4001	1561
ENSGMOG00000000224	1001	2268	792
ENSGMOG00000000225	2	8	4
ENSGMOG00000000226	147	239	123
ENSGMOG00000000227	100	274	96
ENSGMOG00000000228	1197	2535	883
ENSGMOG00000000229	53	88	42
ENSGMOG00000000230	34	80	55
ENSGMOG00000000231	9797	20237	7487
ENSGMOG00000000232	5702	13578	4033
ENSGMOG00000000233	2744	5776	1899
ENSGMOG00000000234	694	1810	868
ENSGMOG00000000235	1353	2601	895
ENSGMOG00000000236	7928	17466	5777
ENSGMOG00000000237	1038	2172	930
ENSGMOG00000000238	314	674	252
ENSGMOG00000000239	709	1436	533
ENSGMOG00000000240	1979	4598	1450
ENSGMOG00000000241	1264	2950	879
ENSGMOG00000000242	1527	2961	1104
ENSGMOG00000000243	15379	33067	10837
ENSGMOG00000000244	1166	2564	924
ENSGMOG00000000245	100	216	71
ENSGMOG00000000246	5260	11676	3903
ENSGMOG00000000247	1617	3443	1316
ENSGMOG00000000248	3934	8468	2778
ENSGMOG00000000249	1173	2497	931
ENSGMOG00000000250	6249	14587	5345
ENSGMOG00000000251	6534	13786	5120
ENSGMOG00000000252	365	847	304
ENSGMOG00000000253	787	1712	642
ENSGMOG00000000254	1476	2940	912
ENSGMOG00000000255	975	1884	695
ENSGMOG00000000256	1	0	0
ENSGMOG00000000257	726	1681	587
ENSGMOG00000000258	1705	3590	1441
ENSGMOG00000000259	77	184	62
ENSGMOG00000000260	7981	18171	6724
ENSGMOG00000000261	193	553	173
ENSGMOG00000000262	859	1734	657
ENSGMOG00000000263	28	15	21
ENSGMOG00000000264	4189	9724	3559
ENSGMOG00000000265	34	50	16
ENSGMOG00000000266	9864	21212	7891
ENSGMOG00000000267	8991	17553	6176
ENSGMOG00000000268	2901	6191	2214
ENSGMOG00000000269	70	166	74
ENSGMOG00000000270	230	429	181
ENSGMOG00000000271	692	1535	584
ENSGMOG00000000272	1	4	0
ENSGMOG00000000273	4552	9216	3677
ENSGMOG00000000274	1072	2288	817
ENSGMOG00000000275	28	91	32
ENSGMOG00000000276	104	178	75
ENSGMOG00000000277	1027	2521	735
ENSGMOG00000000278	7580	14998	6110
ENSGMOG00000000279	20	37	11
ENSGMOG00000000280	23	41	24
ENSGMOG00000000281	11	21	12
ENSGMOG00000000282	61	99	39
ENSGMOG00000000283	0	0	0
ENSGMOG00000000284	8	3	2
ENSGMOG00000000285	277	608	243
ENSGMOG00000000286	93	217	68
ENSGMOG00000000287	23	32	9
ENSGMOG00000000288	202	428	145
ENSGMOG00000000289	62	140	71
ENSGMOG00000000290	4	30	6
ENSGMOG00000000291	3846	7923	2763
ENSGMOG00000000292	185	297	163
ENSGMOG00000000293	24	56	20
ENSGMOG00000000294	57	163	37
ENSGMOG00000000295	804	1792	668
ENSGMOG00000000296	171	326	123
ENSGMOG00000000297	596	1294	481
ENSGMOG00000000298	638	1445	568
ENSGMOG00000000299	2	3	1
ENSGMOG00000000300	0	0	0
ENSGMOG00000000301	9171	19418	6629
ENSGMOG00000000302	145	391	97
ENSGMOG00000000303	612	1361	609
ENSGMOG00000000304	5	8	5
ENSGMOG00000000305	0	2	0
ENSGMOG00000000306	1	2	4
ENSGMOG00000000307	0	1	0
ENSGMOG00000000308	1965	4330	1474
ENSGMOG00000000309	906	1897	769
ENSGMOG00000000310	2721	5855	1888
ENSGMOG00000000311	0	0	0
ENSGMOG00000000312	1609	3499	1301
ENSGMOG00000000313	0	0	0
ENSGMOG00000000314	0	0	1
ENSGMOG00000000315	15	74	19
ENSGMOG00000000316	1123	2357	754
ENSGMOG00000000317	776	1755	669
ENSGMOG00000000318	243564	591778	179958
ENSGMOG00000000319	32	97	20
ENSGMOG00000000320	981	2421	922
ENSGMOG00000000321	4409	10031	3235
ENSGMOG00000000322	541	1341	374
ENSGMOG00000000323	1211	3055	1084
ENSGMOG00000000324	544	1006	405
ENSGMOG00000000325	1610	3689	1138
ENSGMOG00000000326	21509	40936	17313
ENSGMOG00000000327	99	221	127
ENSGMOG00000000328	991	2095	845
ENSGMOG00000000329	14	29	2
ENSGMOG00000000330	2072	5110	1513
ENSGMOG00000000331	4800	11311	2999
ENSGMOG00000000332	3	8	6
ENSGMOG00000000333	24	42	12
ENSGMOG00000000334	5	1	0
ENSGMOG00000000335	1053	2154	914
ENSGMOG00000000336	128	252	130
ENSGMOG00000000337	651	1380	494
ENSGMOG00000000338	780	1498	632
ENSGMOG00000000339	4	20	13
ENSGMOG00000000340	726	1422	437
ENSGMOG00000000341	478	1165	409
ENSGMOG00000000342	1587	3383	1292
ENSGMOG00000000343	13	13	3
ENSGMOG00000000344	18	37	11
ENSGMOG00000000345	0	2	1
ENSGMOG00000000346	55	59	12
ENSGMOG00000000347	827	1961	641
ENSGMOG00000000348	201	445	147
ENSGMOG00000000349	343	666	304
ENSGMOG00000000350	2365	6121	1943
ENSGMOG00000000351	15	22	8
ENSGMOG00000000352	843	1797	636
ENSGMOG00000000353	2440	5545	2095
ENSGMOG00000000354	1219	2391	898
ENSGMOG00000000355	3840	8936	2842
