ID	sample_13	sample_14	sample_15
ENSGMOG00000000001	2823	2271	2283
ENSGMOG00000000002	267	238	206
ENSGMOG00000000003	37	42	42
ENSGMOG00000000004	1423	1282	1449
ENSGMOG00000000005	905	767	748
ENSGMOG00000000006	2634	2192	2365
ENSGMOG00000000007	469	386	366
ENSGMOG00000000008	9	4	0
ENSGMOG00000000009	2363	2079	2301
ENSGMOG00000000010	46	42	38
ENSGMOG00000000011	1849	1513	1530
ENSGMOG00000000012	3055	2462	2795
ENSGMOG00000000013	14	9	16
ENSGMOG00000000014	69311	55687	57243
ENSGMOG00000000015	1879	1778	1724
ENSGMOG00000000016	2455	2101	2213
ENSGMOG00000000017	19	23	19
ENSGMOG00000000018	208	124	157
ENSGMOG00000000019	4264	3114	3225
ENSGMOG00000000020	1429	1339	1403
ENSGMOG00000000021	12784	9984	10115
ENSGMOG00000000022	126	96	97
ENSGMOG00000000023	633	570	572
ENSGMOG00000000024	21	17	20
ENSGMOG00000000025	809	606	619
ENSGMOG00000000026	49	41	70
ENSGMOG00000000027	6	10	9
ENSGMOG00000000028	5740	3834	4900
ENSGMOG00000000029	205	154	202
ENSGMOG00000000030	0	0	0
ENSGMOG00000000031	0	0	3
ENSGMOG00000000032	1862	1501	1613
ENSGMOG00000000033	606	487	462
ENSGMOG00000000034	289	205	195
ENSGMOG00000000035	16	12	11
ENSGMOG00000000036	829	734	745
ENSGMOG00000000037	41	53	61
ENSGMOG00000000038	6654	4962	5117
ENSGMOG00000000039	5	4	0
ENSGMOG00000000040	81	152	104
ENSGMOG00000000041	144	224	756
ENSGMOG00000000042	2443	1960	1842
ENSGMOG00000000043	1	1	1
ENSGMOG00000000044	4998	3996	3963
ENSGMOG00000000045	2038	1560	1510
ENSGMOG00000000046	1410	1254	1176
ENSGMOG00000000047	5923	4420	5418
ENSGMOG00000000048	84	60	77
ENSGMOG00000000049	4	8	1
ENSGMOG00000000050	2371	1743	1880
ENSGMOG00000000051	1441	1280	1231
ENSGMOG00000000052	27	35	42
ENSGMOG00000000053	1899	1542	1800
ENSGMOG00000000054	1558	1140	1245
ENSGMOG00000000055	1436	1330	1353
ENSGMOG00000000056	3567	2528	2900
ENSGMOG00000000057	125	109	111
ENSGMOG00000000058	13	12	9
ENSGMOG00000000059	90	55	99
ENSGMOG00000000060	60	55	49
ENSGMOG00000000061	1580	1309	1313
ENSGMOG00000000062	323	288	252
ENSGMOG00000000063	1096	1103	970
ENSGMOG00000000064	309	363	432
ENSGMOG00000000065	1878	1551	1730
ENSGMOG00000000066	1	1	0
