ID	sample_4	sample_5	sample_6
ENSGMOG00000000001	2272	5276	1900
ENSGMOG00000000002	239	492	153
ENSGMOG00000000003	59	68	41
ENSGMOG00000000004	1436	2517	882
ENSGMOG00000000005	904	1466	531
ENSGMOG00000000006	2474	4433	1701
ENSGMOG00000000007	164	658	158
ENSGMOG00000000008	3	5	0
ENSGMOG00000000009	2185	4689	1681
ENSGMOG00000000010	52	29	4
ENSGMOG00000000011	1261	2715	1086
ENSGMOG00000000012	2265	3825	1442
ENSGMOG00000000013	4	7	4
ENSGMOG00000000014	52708	134298	50778
ENSGMOG00000000015	1902	3432	1330
ENSGMOG00000000016	1939	4937	1863
ENSGMOG00000000017	24	32	15
ENSGMOG00000000018	137	320	135
ENSGMOG00000000019	3121	7655	2859
ENSGMOG00000000020	1339	2407	995
ENSGMOG00000000021	10773	27577	10488
ENSGMOG00000000022	89	194	82
ENSGMOG00000000023	607	1294	512
ENSGMOG00000000024	7	33	7
ENSGMOG00000000025	526	1493	590
ENSGMOG00000000026	54	122	57
ENSGMOG00000000027	3	19	7
ENSGMOG00000000028	3849	8573	3293
ENSGMOG00000000029	149	223	88
ENSGMOG00000000030	0	0	0
ENSGMOG00000000031	4	2	0
ENSGMOG00000000032	1168	2873	1121
ENSGMOG00000000033	473	1212	449
ENSGMOG00000000034	187	566	210
ENSGMOG00000000035	17	31	9
ENSGMOG00000000036	678	1617	584
ENSGMOG00000000037	46	104	39
ENSGMOG00000000038	4621	11604	4326
ENSGMOG00000000039	1	6	4
ENSGMOG00000000040	88	224	72
ENSGMOG00000000041	302	1363	347
ENSGMOG00000000042	1938	4757	1881
ENSGMOG00000000043	0	1	2
ENSGMOG00000000044	3754	9759	3585
ENSGMOG00000000045	1683	3353	1315
ENSGMOG00000000046	1383	2613	977
ENSGMOG00000000047	4808	11813	4616
ENSGMOG00000000048	56	93	31
ENSGMOG00000000049	2	8	6
ENSGMOG00000000050	1627	4480	1589
ENSGMOG00000000051	1266	3504	1594
ENSGMOG00000000052	22	43	13
ENSGMOG00000000053	1546	3350	1302
ENSGMOG00000000054	1203	2444	984
ENSGMOG00000000055	1470	2550	1002
ENSGMOG00000000056	2556	6406	2388
ENSGMOG00000000057	137	293	84
ENSGMOG00000000058	4	9	7
ENSGMOG00000000059	94	147	75
ENSGMOG00000000060	41	76	21
ENSGMOG00000000061	1344	2825	1106
ENSGMOG00000000062	153	404	220
ENSGMOG00000000063	1081	2080	824
ENSGMOG00000000064	277	349	97
ENSGMOG00000000065	1565	3369	1227
ENSGMOG00000000066	2	4	0
ENSGMOG00000000067	55	146	89
ENSGMOG00000000068	489	1123	408
ENSGMOG00000000069	17372	44244	16965
ENSGMOG00000000070	972	2407	802
ENSGMOG00000000071	6231	12402	5099
ENSGMOG00000000072	0	1	3
ENSGMOG00000000073	1697	3148	1091
ENSGMOG00000000074	2	1	1
ENSGMOG00000000075	3645	7311	3027
ENSGMOG00000000076	15	40	21
ENSGMOG00000000077	1792	4195	1810
ENSGMOG00000000078	0	0	0
ENSGMOG00000000079	0	0	0
ENSGMOG00000000080	12	10	15
ENSGMOG00000000081	5	10	9
ENSGMOG00000000082	2803	5750	2137
ENSGMOG00000000083	977	2139	862
ENSGMOG00000000084	329	672	255
ENSGMOG00000000085	6687	12732	5481
ENSGMOG00000000086	90	183	68
ENSGMOG00000000087	661	1311	581
ENSGMOG00000000088	12917	26760	10673
ENSGMOG00000000089	11	24	10
ENSGMOG00000000090	3111	7524	2758
ENSGMOG00000000091	527	1520	488
ENSGMOG00000000092	4045	10043	3620
ENSGMOG00000000093	1276	2442	984
ENSGMOG00000000094	77	164	68
ENSGMOG00000000095	9517	23202	8960
ENSGMOG00000000096	2004	3932	1408
ENSGMOG00000000097	36	100	28
ENSGMOG00000000098	2687	4988	1915
ENSGMOG00000000099	1699	3255	1366
ENSGMOG00000000100	1517	2808	1124
ENSGMOG00000000101	284	748	289
ENSGMOG00000000102	86	190	69
ENSGMOG00000000103	175	388	135
ENSGMOG00000000104	810	1967	739
ENSGMOG00000000105	48	105	40
ENSGMOG00000000106	2	1	2
ENSGMOG00000000107	1225	3010	1524
ENSGMOG00000000108	371	692	266
ENSGMOG00000000109	42	64	22
ENSGMOG00000000110	8	20	3
ENSGMOG00000000111	699	1581	689
ENSGMOG00000000112	1154	2315	957
ENSGMOG00000000113	113273	232505	86732
ENSGMOG00000000114	40947	87538	35843
ENSGMOG00000000115	25	36	17
ENSGMOG00000000116	538	1302	531
ENSGMOG00000000117	5106	10242	4557
ENSGMOG00000000118	6735	16066	6152
ENSGMOG00000000119	46	108	36
ENSGMOG00000000120	51	182	33
ENSGMOG00000000121	0	0	0
ENSGMOG00000000122	6	9	6
ENSGMOG00000000123	129	245	90
ENSGMOG00000000124	61	140	32
ENSGMOG00000000125	0	1	0
ENSGMOG00000000126	470	897	341
ENSGMOG00000000127	915	2816	870
ENSGMOG00000000128	938	1650	687
ENSGMOG00000000129	479	1203	483
ENSGMOG00000000130	2	1	1
ENSGMOG00000000131	1446	3246	1218
ENSGMOG00000000132	358	765	269
ENSGMOG00000000133	18133	49335	18526
ENSGMOG00000000134	9	17	11
ENSGMOG00000000135	968	2287	902
ENSGMOG00000000136	617	1596	546
