ID	sample_10	sample_11	sample_12
ENSGMOG00000000001	2419	2225	1578
ENSGMOG00000000002	289	332	161
ENSGMOG00000000003	33	40	31
ENSGMOG00000000004	1106	1261	903
ENSGMOG00000000005	579	580	577
ENSGMOG00000000006	2497	2999	1803
ENSGMOG00000000007	321	287	190
ENSGMOG00000000008	3	1	1
ENSGMOG00000000009	2615	3288	1906
ENSGMOG00000000010	12	68	25
ENSGMOG00000000011	1343	1373	810
ENSGMOG00000000012	2972	4222	1980
ENSGMOG00000000013	2	16	5
ENSGMOG00000000014	64486	77278	42833
ENSGMOG00000000015	2098	2674	1632
ENSGMOG00000000016	2867	3179	1902
ENSGMOG00000000017	22	32	1
ENSGMOG00000000018	211	283	169
ENSGMOG00000000019	4508	4890	2745
ENSGMOG00000000020	1550	2134	1136
ENSGMOG00000000021	17995	20386	12508
ENSGMOG00000000022	149	152	83
ENSGMOG00000000023	621	767	411
ENSGMOG00000000024	16	31	30
ENSGMOG00000000025	680	720	436
ENSGMOG00000000026	68	78	42
ENSGMOG00000000027	2	2	8
ENSGMOG00000000028	5900	6624	4079
ENSGMOG00000000029	421	535	270
ENSGMOG00000000030	0	2	0
ENSGMOG00000000031	0	4	0
ENSGMOG00000000032	1336	1564	795
ENSGMOG00000000033	720	830	405
ENSGMOG00000000034	308	417	162
ENSGMOG00000000035	36	63	10
ENSGMOG00000000036	607	782	413
ENSGMOG00000000037	59	99	74
ENSGMOG00000000038	6399	7369	4085
ENSGMOG00000000039	10	17	14
ENSGMOG00000000040	586	559	287
ENSGMOG00000000041	957	825	743
ENSGMOG00000000042	2982	3559	2123
ENSGMOG00000000043	3	3	0
ENSGMOG00000000044	4742	5739	3281
ENSGMOG00000000045	2199	2297	1413
ENSGMOG00000000046	1689	1941	1214
ENSGMOG00000000047	6598	7713	4257
ENSGMOG00000000048	77	63	48
ENSGMOG00000000049	4	5	8
ENSGMOG00000000050	2243	2723	1534
ENSGMOG00000000051	1449	1202	957
ENSGMOG00000000052	14	28	10
ENSGMOG00000000053	1704	1887	1196
ENSGMOG00000000054	1108	1342	803
ENSGMOG00000000055	2203	2212	1504
ENSGMOG00000000056	3891	4497	2654
ENSGMOG00000000057	63	91	48
ENSGMOG00000000058	10	13	16
ENSGMOG00000000059	56	42	32
ENSGMOG00000000060	38	40	14
ENSGMOG00000000061	3890	4521	2714
ENSGMOG00000000062	331	366	146
ENSGMOG00000000063	1548	1676	1140
ENSGMOG00000000064	138	255	168
ENSGMOG00000000065	1807	1977	1174
ENSGMOG00000000066	3	0	1
ENSGMOG00000000067	116	102	64
ENSGMOG00000000068	745	1031	585
ENSGMOG00000000069	27997	33098	18514
ENSGMOG00000000070	1238	1420	730
ENSGMOG00000000071	7224	8768	5574
ENSGMOG00000000072	3	3	0
ENSGMOG00000000073	3727	4257	2844
ENSGMOG00000000074	5	0	1
ENSGMOG00000000075	3608	4739	2774
ENSGMOG00000000076	39	21	22
ENSGMOG00000000077	2499	2822	1625
ENSGMOG00000000078	0	0	0
ENSGMOG00000000079	2	5	0
ENSGMOG00000000080	15	14	8
ENSGMOG00000000081	3	6	2
ENSGMOG00000000082	3457	4136	2220
ENSGMOG00000000083	1433	1762	851
ENSGMOG00000000084	408	518	293
ENSGMOG00000000085	15073	16337	9998
ENSGMOG00000000086	124	171	89
ENSGMOG00000000087	1013	1421	708
ENSGMOG00000000088	12289	14872	8629
ENSGMOG00000000089	31	46	40
ENSGMOG00000000090	3699	4152	2357
ENSGMOG00000000091	820	955	519
ENSGMOG00000000092	4943	5502	3144
ENSGMOG00000000093	1447	1596	963
ENSGMOG00000000094	96	75	42
ENSGMOG00000000095	14733	17622	9715
ENSGMOG00000000096	2359	2810	1581
ENSGMOG00000000097	42	55	23
ENSGMOG00000000098	2650	3016	1891
ENSGMOG00000000099	1920	2078	1140
ENSGMOG00000000100	2076	2354	1426
ENSGMOG00000000101	1250	1439	807
ENSGMOG00000000102	100	133	85
ENSGMOG00000000103	179	159	98
ENSGMOG00000000104	1220	1304	816
ENSGMOG00000000105	96	65	62
ENSGMOG00000000106	5	4	13
ENSGMOG00000000107	528	611	379
ENSGMOG00000000108	521	581	290
ENSGMOG00000000109	99	110	40
ENSGMOG00000000110	11	1	9
ENSGMOG00000000111	1013	1067	681
ENSGMOG00000000112	1741	1802	1183
ENSGMOG00000000113	131994	149926	95381
ENSGMOG00000000114	27968	32296	19431
ENSGMOG00000000115	35	37	25
ENSGMOG00000000116	896	978	685
ENSGMOG00000000117	7934	10810	5776
ENSGMOG00000000118	6822	8053	4534
ENSGMOG00000000119	20	38	16
ENSGMOG00000000120	101	106	55
ENSGMOG00000000121	3	3	1
ENSGMOG00000000122	6	3	7
ENSGMOG00000000123	475	638	395
ENSGMOG00000000124	96	116	72
ENSGMOG00000000125	0	2	0
ENSGMOG00000000126	916	1022	508
ENSGMOG00000000127	2093	2053	1457
ENSGMOG00000000128	972	1263	694
ENSGMOG00000000129	518	575	309
ENSGMOG00000000130	0	1	0
ENSGMOG00000000131	1670	1931	1100
ENSGMOG00000000132	365	454	189
ENSGMOG00000000133	27057	30131	17752
ENSGMOG00000000134	0	0	1
ENSGMOG00000000135	1059	1091	648
ENSGMOG00000000136	969	964	677
ENSGMOG00000000137	8314	11234	5690
ENSGMOG00000000138	2550	2812	1585
ENSGMOG00000000139	145	210	121
ENSGMOG00000000140	346	521	200
ENSGMOG00000000141	103	135	66
ENSGMOG00000000142	1464	1411	774
ENSGMOG00000000143	19	41	19
ENSGMOG00000000144	13	22	13
ENSGMOG00000000145	337	436	233
ENSGMOG00000000146	16699	20317	11638
ENSGMOG00000000147	1	3	4
ENSGMOG00000000148	414	467	268
ENSGMOG00000000149	0	0	0
ENSGMOG00000000150	209	210	112
ENSGMOG00000000151	336	332	259
ENSGMOG00000000152	68	82	28
ENSGMOG00000000153	180	160	146
ENSGMOG00000000154	3933	3380	2139
ENSGMOG00000000155	685	783	471
ENSGMOG00000000156	86	83	82
ENSGMOG00000000157	9	7	10
ENSGMOG00000000158	3923	3841	2454
ENSGMOG00000000159	315	343	233
ENSGMOG00000000160	393	462	283
ENSGMOG00000000161	2842	3200	1958
ENSGMOG00000000162	34	32	41
ENSGMOG00000000163	3	4	2
ENSGMOG00000000164	3883	4291	2686
ENSGMOG00000000165	550	519	335
ENSGMOG00000000166	97	135	108
ENSGMOG00000000167	68	78	47
ENSGMOG00000000168	222	327	154
ENSGMOG00000000169	33	28	10
ENSGMOG00000000170	129	145	87
ENSGMOG00000000171	1482	1755	958
ENSGMOG00000000172	3023	3747	2160
ENSGMOG00000000173	481	563	288
ENSGMOG00000000174	1942	2360	1279
ENSGMOG00000000175	1009	1038	654
ENSGMOG00000000176	1103	1339	758
ENSGMOG00000000177	755	972	512
ENSGMOG00000000178	8781	9410	5563
ENSGMOG00000000179	3010	3448	2099
ENSGMOG00000000180	437	488	300
ENSGMOG00000000181	3416	3946	2156
ENSGMOG00000000182	230	311	129
ENSGMOG00000000183	0	5	1
ENSGMOG00000000184	9374	11106	6731
ENSGMOG00000000185	182	242	89
ENSGMOG00000000186	1344	1426	869
ENSGMOG00000000187	0	1	3
ENSGMOG00000000188	541	620	336
ENSGMOG00000000189	19971	21448	12375
ENSGMOG00000000190	1586	1964	1016
ENSGMOG00000000191	0	0	3
ENSGMOG00000000192	40	50	32
ENSGMOG00000000193	7192	8657	5021
ENSGMOG00000000194	1856	2288	1018
ENSGMOG00000000195	1253	1635	866
ENSGMOG00000000196	9	8	3
ENSGMOG00000000197	36	46	22
ENSGMOG00000000198	4714	5627	3015
ENSGMOG00000000199	74	129	67
ENSGMOG00000000200	275	394	204
ENSGMOG00000000201	1502	1839	967
ENSGMOG00000000202	1627	1833	1102
ENSGMOG00000000203	13	11	6
ENSGMOG00000000204	3039	3123	2007
ENSGMOG00000000205	21	35	15
ENSGMOG00000000206	362	427	280
ENSGMOG00000000207	815	1052	530
ENSGMOG00000000208	3458	3926	2239
ENSGMOG00000000209	1283	1525	802
ENSGMOG00000000210	0	0	0
ENSGMOG00000000211	8	14	6
ENSGMOG00000000212	525	746	374
ENSGMOG00000000213	6	2	2
ENSGMOG00000000214	7	9	4
ENSGMOG00000000215	2	3	0
ENSGMOG00000000216	87	130	83
ENSGMOG00000000217	862	916	480
ENSGMOG00000000218	7343	9112	5053
ENSGMOG00000000219	1	0	0
ENSGMOG00000000220	0	4	2
ENSGMOG00000000221	1547	1714	1057
ENSGMOG00000000222	753	817	431
ENSGMOG00000000223	1546	2145	1460
ENSGMOG00000000224	1670	1896	1047
ENSGMOG00000000225	15	35	14
ENSGMOG00000000226	168	229	105
ENSGMOG00000000227	65	81	49
ENSGMOG00000000228	4487	5576	3839
ENSGMOG00000000229	168	216	108
ENSGMOG00000000230	79	138	60
ENSGMOG00000000231	15774	18985	11541
ENSGMOG00000000232	9937	10991	6363
ENSGMOG00000000233	3872	4145	2432
ENSGMOG00000000234	704	914	790
ENSGMOG00000000235	1810	2222	1268
ENSGMOG00000000236	11765	13961	7468
ENSGMOG00000000237	1175	1551	897
ENSGMOG00000000238	852	1050	612
ENSGMOG00000000239	817	998	564
ENSGMOG00000000240	2670	3319	1797
ENSGMOG00000000241	1479	1679	880
ENSGMOG00000000242	1695	2031	1241
ENSGMOG00000000243	19400	22654	12364
ENSGMOG00000000244	1689	1844	1056
ENSGMOG00000000245	213	253	106
ENSGMOG00000000246	8337	8475	4716
ENSGMOG00000000247	1937	2229	1252
ENSGMOG00000000248	5340	5696	3257
ENSGMOG00000000249	2758	3509	2229
