ID	sample_16	sample_17	sample_18
ENSGMOG00000000001	2514	2336	1869
ENSGMOG00000000002	256	210	138
ENSGMOG00000000003	53	35	31
ENSGMOG00000000004	1238	914	993
ENSGMOG00000000005	917	642	855
ENSGMOG00000000006	2234	2042	1713
ENSGMOG00000000007	271	238	244
ENSGMOG00000000008	2	6	1
ENSGMOG00000000009	2262	2062	1639
ENSGMOG00000000010	21	2	6
ENSGMOG00000000011	1200	1274	949
ENSGMOG00000000012	2625	1855	1647
ENSGMOG00000000013	3	0	2
ENSGMOG00000000014	63407	63348	43945
ENSGMOG00000000015	1979	1743	1383
ENSGMOG00000000016	2467	2383	1700
ENSGMOG00000000017	18	13	15
ENSGMOG00000000018	126	150	88
ENSGMOG00000000019	4104	3716	2777
ENSGMOG00000000020	1450	1195	956
ENSGMOG00000000021	13446	13821	9741
ENSGMOG00000000022	68	53	42
ENSGMOG00000000023	674	515	448
ENSGMOG00000000024	27	25	14
ENSGMOG00000000025	626	692	492
ENSGMOG00000000026	55	51	32
ENSGMOG00000000027	5	12	3
ENSGMOG00000000028	5241	4889	3341
ENSGMOG00000000029	237	187	184
ENSGMOG00000000030	0	0	0
ENSGMOG00000000031	2	0	0
ENSGMOG00000000032	1260	1327	878
ENSGMOG00000000033	544	587	344
ENSGMOG00000000034	232	238	119
ENSGMOG00000000035	12	33	17
ENSGMOG00000000036	649	661	476
ENSGMOG00000000037	38	18	45
ENSGMOG00000000038	5318	5692	3629
ENSGMOG00000000039	6	8	4
ENSGMOG00000000040	178	154	151
ENSGMOG00000000041	528	354	439
ENSGMOG00000000042	2199	2266	1522
ENSGMOG00000000043	0	0	0
ENSGMOG00000000044	4268	4531	3191
ENSGMOG00000000045	1893	1727	1539
ENSGMOG00000000046	1223	1103	928
ENSGMOG00000000047	5390	5625	3970
ENSGMOG00000000048	75	79	43
ENSGMOG00000000049	1	0	3
ENSGMOG00000000050	1973	2189	1455
ENSGMOG00000000051	1451	1212	1119
ENSGMOG00000000052	28	15	13
ENSGMOG00000000053	1629	1403	1127
ENSGMOG00000000054	1246	1092	907
ENSGMOG00000000055	1515	1381	982
ENSGMOG00000000056	3262	2959	2055
ENSGMOG00000000057	67	76	46
ENSGMOG00000000058	15	12	3
ENSGMOG00000000059	84	73	40
ENSGMOG00000000060	39	23	42
ENSGMOG00000000061	1882	1747	1419
ENSGMOG00000000062	312	266	186
ENSGMOG00000000063	1154	1050	932
ENSGMOG00000000064	321	64	197
ENSGMOG00000000065	1582	1651	1164
ENSGMOG00000000066	3	2	0
ENSGMOG00000000067	61	59	50
ENSGMOG00000000068	672	590	452
ENSGMOG00000000069	20938	21269	15330
ENSGMOG00000000070	880	1055	749
ENSGMOG00000000071	6567	5870	5236
ENSGMOG00000000072	0	3	3
ENSGMOG00000000073	2334	2029	1537
ENSGMOG00000000074	0	2	1
ENSGMOG00000000075	4335	3879	2884
ENSGMOG00000000076	38	17	20
