genes	logFC	logCPM	LR	PValue	FDR
ENSGMOG00000020141	7.40579835232923	8.57557927252808	3329.48310154069	0	0
ENSGMOG00000000318	6.99691579636411	11.4086059016589	2766.98142306829	0	0
ENSGMOG00000013503	5.61105922132561	5.14785109507444	2409.76749151292	0	0
ENSGMOG00000010256	5.34087095656752	4.45964971913231	1722.78693944375	0	0
ENSGMOG00000016268	5.32577797056178	4.37848690010508	1684.67067533108	0	0
ENSGMOG00000005936	4.98249106698584	8.61686901071472	2647.52097831035	0	0
ENSGMOG00000002321	4.46520125556176	6.19053260504032	1971.47654196282	0	0
ENSGMOG00000015943	3.7064736019317	6.38840817013358	1525.54441036075	0	0
ENSGMOG00000006075	3.69074726866476	6.8326333146232	1633.9394150936	0	0
ENSGMOG00000003965	3.59423455316768	5.80547478122002	1467.12030690018	5.45942538654577e-321	8.64936516957624e-318
ENSGMOG00000013760	3.20345351527719	5.83535291992397	1365.48940558345	6.63317496095452e-299	9.55358099149114e-296
ENSGMOG00000003387	2.93600295882973	7.14378220868769	1356.38239089346	6.32026858332222e-297	8.34433459713117e-294
ENSGMOG00000012687	3.61175760625218	8.03632955766345	1171.49156502532	9.57280921865722e-257	1.16663089577836e-253
ENSGMOG00000007404	6.20694170627774	7.16393651818123	1148.79901757156	8.18283392703184e-252	9.26004556471181e-249
ENSGMOG00000012605	2.65190467301993	7.53291111122745	1121.96971421096	5.54543218722062e-246	5.85708547614242e-243
ENSGMOG00000005453	2.71559818524135	7.04924268963454	1117.46398385811	5.28706389927785e-245	5.23518458476619e-242
ENSGMOG00000003353	2.96049835179903	7.19571329908903	1098.90153591666	5.72307920955491e-241	5.33357317158697e-238
ENSGMOG00000002200	3.42931081840451	6.96802543324758	1097.93955767449	9.26212221137202e-241	8.15221123304261e-238
ENSGMOG00000019790	4.60333925952135	5.2073626462343	1085.65226144844	4.33812808387663e-238	3.61731385436092e-235
ENSGMOG00000001992	3.30793076695513	5.05479081883793	1076.15565057746	5.0277020308073e-236	3.982694163704e-233
ENSGMOG00000020500	4.06932548551918	4.34345985057527	1068.49699972798	2.32258942840257e-234	1.75222782448485e-231
ENSGMOG00000013702	3.68111795297978	6.99895389144135	1058.96002077656	2.746909423013e-232	1.97814936312704e-229
ENSGMOG00000019411	3.36599476982855	5.8820185065388	1037.24730260944	1.43943236571765e-227	9.9151856391586e-225
