genes	logFC	logCPM	LR	PValue	FDR
ENSGMOG00000020141	7.74740674289428	9.22133070775017	2369.03955029625	0	0
ENSGMOG00000000318	6.48970029805295	11.3560130123627	1560.91569652167	0	0
ENSGMOG00000013503	5.96482227094006	5.31207785271344	1706.71420422753	0	0
ENSGMOG00000019790	5.2618185424283	5.8279638676007	1132.19198007966	3.32837750798348e-248	1.33284877307198e-244
ENSGMOG00000009114	4.51252278563171	4.90534299792486	1130.00836329187	9.92698600361757e-248	3.18020923611893e-244
ENSGMOG00000013920	3.86601223368532	2.96878825991386	594.148325012399	3.13758303350298e-131	8.37630083844179e-128
ENSGMOG00000000322	3.88312705669136	2.625966401822	454.042134774034	9.51576798217771e-101	2.17747959340747e-97
ENSGMOG00000005891	4.94490255318835	1.74829027177773	386.014528489143	6.10281956226078e-86	1.22193704685367e-82
ENSGMOG00000010031	2.03370541392753	3.83966568161714	376.012258859812	9.18685926817721e-84	1.63505679730736e-80
ENSGMOG00000018606	2.94860107136132	4.19319583587635	324.747627132855	1.33902487105982e-72	2.14485003846362e-69
ENSGMOG00000019618	1.86608327510605	4.06194743868964	305.121587570962	2.52336936933322e-68	3.67448459617995e-65
ENSGMOG00000004256	3.59739538429687	3.10781788343338	303.675070212499	5.21330707457221e-68	6.95889606004147e-65
ENSGMOG00000016248	2.67837526685554	3.07183450889091	289.960599340923	5.07155761937598e-65	6.24893922670495e-62
ENSGMOG00000009289	2.83855518933104	4.03321816555404	286.904574369786	2.34981584893909e-64	2.68852501916474e-61
ENSGMOG00000005657	2.1126816658374	3.32657472547725	284.806262107296	6.73378978151179e-64	7.19078964801706e-61
ENSGMOG00000016250	5.62561219783767	0.522201294394009	273.378820237044	2.08222057778662e-61	2.08456307593663e-58
ENSGMOG00000005564	2.55282087583471	2.82518002762748	255.671258539699	1.50698308631096e-57	1.41993265156053e-54
ENSGMOG00000006550	-1.64706279115456	3.85944963508408	238.159820180511	9.90725112940145e-54	8.81635269948625e-51
ENSGMOG00000018395	2.69872002028744	2.5742825787991	232.385379325552	1.79946141815082e-52	1.51704068399683e-49
ENSGMOG00000012331	2.57961726112072	1.80880574694026	230.040894291706	5.84015300613218e-52	4.67737854261126e-49
ENSGMOG00000012325	4.57484076766164	0.701069862311005	226.983402107596	2.71163230573143e-51	2.06832982253362e-48
ENSGMOG00000001116	3.67345719010293	1.14553547448639	223.544139461917	1.52525970096562e-50	1.11052772227578e-47
ENSGMOG00000017371	2.17817751756367	3.77511108937708	222.718763156784	2.30870360469432e-50	1.6078614930432e-47
ENSGMOG00000018803	-2.38734059661968	3.99393187824176	219.621396959921	1.09387295293985e-49	7.30069040007936e-47
ENSGMOG00000009032	-2.26779561076812	2.28226375253032	206.125932762257	9.6186513214541e-47	6.16286227468207e-44
ENSGMOG00000010417	1.32313424405841	5.72073167120518	204.057665556396	2.71895303760487e-46	1.67508422139826e-43
ENSGMOG00000020426	1.40534184749042	4.29759528868781	194.92493291232	2.67543779968399e-44	1.58722824723475e-41
ENSGMOG00000007659	2.48973990042221	1.59990968108271	190.289120887874	2.74930198228896e-43	1.57279711258231e-40
ENSGMOG00000010952	-3.34369496608719	1.6386961424931	186.396410823455	1.94516056952885e-42	1.0743993794039e-39
ENSGMOG00000014517	2.52690736509141	1.78787263006759	185.115664004202	3.70294772486504e-42	1.97712722189627e-39
ENSGMOG00000008499	1.56150656859901	3.44979076676047	185.001006942301	3.92263742914271e-42	2.02686472064541e-39
ENSGMOG00000005695	-2.15245761722166	2.91182949958462	183.318024291045	9.14106254158906e-42	4.57567311847418e-39
ENSGMOG00000005541	1.11037640024555	8.4294120708684	175.524464658778	4.59915487118868e-40	2.2324019008091e-37
ENSGMOG00000013646	1.26538827976828	4.77965214436845	175.088991078174	5.72497169479387e-40	2.69713519432965e-37
ENSGMOG00000005936	2.15712374510447	2.66621066407174	173.986167440149	9.96793559600945e-40	4.5618969250537e-37
ENSGMOG00000020500	4.08565466588966	4.26243137281591	171.387935597702	3.68158257673401e-39	1.63809971428126e-36
ENSGMOG00000011732	7.22328924073687	0.664672120768953	168.349849671646	1.69662491982777e-38	7.34501026102735e-36
ENSGMOG00000015982	1.35797241946174	4.4775977013741	161.550175373749	5.18756530046451e-37	2.18669528902212e-34
ENSGMOG00000008850	0.99279065384166	5.76525457588613	160.973378309682	6.93395163898197e-37	2.84789839367213e-34
ENSGMOG00000008398	1.6498562324336	4.10199528038761	160.685420405055	8.0148274027031e-37	3.20953763341246e-34
ENSGMOG00000000267	1.10475431072872	6.9888405560817	160.600383262567	8.3651419451114e-37	3.2681181384584e-34
ENSGMOG00000011390	1.37206479958422	4.5159686151351	153.651984137146	2.75920931960415e-35	1.05230987812903e-32
