genes	logFC	logCPM	F	PValue	FDR
ENSGMOG00000010256	6.17405808217718	3.53696286942776	926.813305307575	1.57575156285442e-14	2.56926292323414e-10
ENSGMOG00000018132	2.398875334526	7.09485788381161	767.907638565583	6.01362113323964e-14	4.90260462887361e-10
ENSGMOG00000005453	2.37294291037236	6.37905972100507	719.59527524696	9.54256476827086e-14	5.18638395155521e-10
ENSGMOG00000015943	3.12601275611179	5.56967886167576	623.744864018344	2.62983940014946e-13	1.07198828548593e-09
ENSGMOG00000013760	2.77399893111498	5.09745630343275	574.115034695536	4.72810587158568e-13	1.36165063798914e-09
ENSGMOG00000015968	2.58901908523228	5.326287613553	550.844326333921	6.33353157727138e-13	1.36165063798914e-09
ENSGMOG00000000799	2.17005711998322	6.80312241451833	542.704666574415	7.0354684664159e-13	1.36165063798914e-09
ENSGMOG00000013702	3.29489497102439	6.20325805922919	540.624434898762	7.22879818843329e-13	1.36165063798914e-09
ENSGMOG00000006075	2.87744380245997	5.96361346785741	537.64816252608	7.51601088126482e-13	1.36165063798914e-09
ENSGMOG00000003387	2.26272606651152	6.26153947047221	517.552191764456	9.83308498684916e-13	1.48347142948042e-09
ENSGMOG00000012687	2.75945154371439	7.12478282191653	516.258856179955	1.0008086920751e-12	1.48347142948042e-09
ENSGMOG00000008538	2.65773751648052	5.94179259002084	488.749522225319	1.47195339906059e-12	2.00001668097358e-09
ENSGMOG00000001198	2.37574625388541	5.84780980891146	482.584612850464	1.60952787424647e-12	2.01871938381451e-09
ENSGMOG00000012605	1.84482118497006	6.68381281661717	468.760701565126	1.97466854129706e-12	2.12878576699896e-09
ENSGMOG00000004103	1.91182561213035	6.4132526657203	459.3723456784	2.27647099745279e-12	2.12878576699896e-09
ENSGMOG00000012564	2.30189354454188	6.41429350037399	458.419597508768	2.30993014990705e-12	2.12878576699896e-09
ENSGMOG00000017517	1.75011629198321	6.21658653234181	455.108461735412	2.43064265971466e-12	2.12878576699896e-09
ENSGMOG00000001992	2.89065026931295	4.34365254132215	455.078341752244	2.43177320724677e-12	2.12878576699896e-09
ENSGMOG00000015944	2.1308964544946	8.29031942413761	453.791304335227	2.48064578797793e-12	2.12878576699896e-09
ENSGMOG00000001528	2.67463406055027	6.37258781665535	443.68795599992	2.90563547029141e-12	2.32560185024806e-09
ENSGMOG00000005801	2.26022874119211	5.21795871500695	441.772260271485	2.99525537290459e-12	2.32560185024806e-09
