genes	logFC	logCPM	LR	PValue	FDR
ENSGMOG00000000318	5.57943708191993	10.0312331528779	1290.72173940473	1.17360885092222e-282	1.84714297046649e-278
ENSGMOG00000005936	3.64770034814376	7.36968025448286	993.714377251042	4.17386130228682e-218	3.28462015183461e-214
ENSGMOG00000003965	2.39763251301639	4.76130057878495	538.437031750647	4.12528404849796e-119	2.16426152131031e-115
ENSGMOG00000012687	2.03730391196796	6.68370599737203	435.87276922822	8.56446464659257e-97	3.36990272681801e-93
ENSGMOG00000008808	2.16869418515715	4.22894472944164	408.716159626504	6.97568084067734e-91	2.19580481502841e-87
ENSGMOG00000002200	2.37170486904116	6.05638339647075	390.266588914865	7.24170087460335e-87	1.89961883442303e-83
ENSGMOG00000020141	4.53924555165489	5.77547266761829	370.030028475538	1.84355448092124e-82	4.14510056788849e-79
ENSGMOG00000012605	1.69507351310713	6.77196850142548	360.915006596148	1.77969098023211e-80	3.50131954223414e-77
ENSGMOG00000006075	2.1510808501888	5.49639686023527	346.176208205335	2.882951553451e-77	5.04164161108503e-74
ENSGMOG00000000372	1.85213992772537	6.8974067999297	344.764543255281	5.85138588977605e-77	9.20949625191852e-74
ENSGMOG00000002874	1.97064995363039	5.22556037703043	331.968338837971	3.58165982098269e-74	5.12470399294969e-71
ENSGMOG00000007404	3.73539593988344	4.80071804104141	326.303342248437	6.13674264771359e-73	8.04884937769701e-70
ENSGMOG00000013760	1.82632351857188	4.68684702549541	307.49560724276	7.67002586915661e-69	9.28604131958892e-66
ENSGMOG00000002396	2.84181584749585	3.76489208325468	306.206017746302	1.46465174580805e-68	1.64658241623378e-65
ENSGMOG00000003387	1.83728318801201	6.24428578683717	301.165878300991	1.83555487204717e-67	1.92598654207669e-64
ENSGMOG00000019394	1.69700555020685	6.0575907886172	284.331775001379	8.54383176143898e-64	8.4044605058305e-61
ENSGMOG00000009293	1.63930311751746	8.11394649591185	276.68397022439	3.96489424027859e-62	3.6707923792791e-59
ENSGMOG00000015175	2.71713508194922	3.78321188583612	270.60456138275	8.37815268887854e-61	7.32576362056996e-58
ENSGMOG00000014744	1.47999795791616	5.63843660470405	264.420931276638	1.86590393271007e-59	1.54565589457494e-56
ENSGMOG00000016268	3.17005148396022	2.33599328426006	262.831875587832	4.14235666657695e-59	3.25982757876273e-56
ENSGMOG00000015943	1.88284158180823	4.82473061458277	259.397935996822	2.32141234682246e-58	1.73984328222089e-55
ENSGMOG00000009114	2.6187097829252	2.80534600517056	255.565042784412	1.5895067400143e-57	1.1371475718675e-54
ENSGMOG00000017517	1.51229687995237	6.52011220729563	252.790222622017	6.39969398539677e-57	4.37933841896347e-54
ENSGMOG00000008938	1.47665978748937	8.61949655108597	236.491172277206	2.28986371889082e-53	1.50167354465094e-50
ENSGMOG00000018132	1.27841005901984	6.85957985278656	232.594339554264	1.62021957877684e-52	1.02002543801475e-49
ENSGMOG00000015146	1.73674596136665	4.22460077341896	232.110674111821	2.06561175756489e-52	1.2504101327813e-49
ENSGMOG00000020500	3.19347354329605	3.54721065494576	219.789793072482	1.00515995763295e-49	5.85933799006854e-47
ENSGMOG00000008762	3.40641645312241	1.88194369107781	215.263590647107	9.76259773988477e-49	5.48762592243023e-46
ENSGMOG00000008326	1.33419712491089	6.12955793124141	214.983188101037	1.12391767852035e-48	6.09977253180406e-46
ENSGMOG00000001528	1.34292073932443	6.04574713292555	210.222682956294	1.22823881114922e-47	6.44375021622587e-45
ENSGMOG00000009590	1.32800417269618	10.0621933383523	206.123329894674	9.63123774204789e-47	4.88987260716425e-44
ENSGMOG00000002101	1.57722314788871	8.09912847133241	202.456200683229	6.0792480668849e-46	2.99004016639692e-43
ENSGMOG00000005752	1.53182466432905	6.44777246346277	189.532269714654	4.02186144338568e-43	1.91818415931658e-40
ENSGMOG00000005514	1.188741424918	7.02052372783854	183.108599823786	1.01558949562025e-41	4.70128325634325e-39
ENSGMOG00000014010	1.15235176372285	5.49119682535657	181.660013468268	2.10368648067489e-41	9.45997757695489e-39
ENSGMOG00000010265	1.46909058782506	4.4827781177668	180.352291363062	4.05976810555646e-41	1.77490806148203e-38
ENSGMOG00000014601	1.18411475024629	6.745720326576	178.486688139605	1.03715876275798e-40	4.41184912622915e-38
ENSGMOG00000005801	1.2055587072805	4.99649110398135	175.633314932091	4.35419995093937e-40	1.80344086915354e-37
ENSGMOG00000003572	1.52306610658372	7.16551052240544	174.965384746422	6.09208235223216e-40	2.45854574722518e-37
ENSGMOG00000001088	1.92224572911907	3.14316128753064	174.2478620152	8.73888945447602e-40	3.43853452809995e-37
ENSGMOG00000000799	1.12510038631183	6.4679580324812	173.902344192062	1.03970631786749e-39	3.99120432607717e-37
ENSGMOG00000003005	1.12579297458522	6.98458621704776	173.620877165877	1.19778337122242e-39	4.48855059039753e-37
ENSGMOG00000001992	1.78382881865833	3.77837667471972	172.055433549726	2.6318109603685e-39	9.63304016400924e-37
ENSGMOG00000015140	1.38309695238187	4.33462523256179	170.861174184813	4.79822015513194e-39	1.71634515958231e-36
ENSGMOG00000018671	1.56465103288129	4.48433710391264	170.643325315779	5.35376541915232e-39	1.87250919848974e-36
ENSGMOG00000004256	2.11141844346638	2.13871543803799	165.586568880745	6.81046302575739e-38	2.3302147296173e-35
ENSGMOG00000014084	1.03974944226354	7.56669017359088	164.6802995769	1.07435604723636e-37	3.59772123988363e-35
ENSGMOG00000015968	1.42209551424925	5.07659346971271	162.652901913381	2.97885969022656e-37	9.76755680509913e-35
