genes	logFC	logCPM	LR	PValue	FDR
ENSGMOG00000000318	5.43733671490385	10.3236307710022	1212.19133142545	1.3670796346111e-265	2.17283637125089e-261
ENSGMOG00000020141	6.03752768041465	7.52637962829327	605.301188304507	1.17694662457435e-133	9.35319482549235e-130
ENSGMOG00000009114	3.18738926720532	3.67272442390953	523.674198478249	6.71702116127382e-116	3.55867781124287e-112
ENSGMOG00000019790	3.61782553230326	4.26177447212197	320.427240618722	1.16906639048251e-71	4.64528530258224e-68
ENSGMOG00000013503	4.24828932024499	3.66481437451933	265.112713782366	1.31858296939783e-59	4.19151154312182e-56
ENSGMOG00000013920	2.53186258520916	1.77380749647139	197.415571414854	7.65296966893715e-45	2.02727166530145e-41
ENSGMOG00000009032	-2.58192062675553	2.24077251447277	191.381782282595	1.58753541392674e-43	3.60461255270736e-40
ENSGMOG00000018803	-1.85991981080683	4.09487870157106	137.884081562003	7.72574857966575e-32	1.53491309906509e-28
ENSGMOG00000019618	1.31452803012448	3.6527764517467	130.710727417945	2.86450335012545e-30	5.05871291632154e-27
ENSGMOG00000010031	1.21943041220477	3.23014979612874	119.857376251465	6.79764264799412e-28	1.08041732247219e-24
ENSGMOG00000006574	2.20493542180634	1.25510274176138	115.813213923951	5.22238489628302e-27	7.54587141286566e-24
ENSGMOG00000010952	-2.35380835701264	1.7707799241813	109.015250288841	1.61042050132593e-25	2.13300195400619e-22
ENSGMOG00000016250	4.2506759814507	-0.811835766661506	104.6079733614	1.48856590080101e-24	1.81994357133318e-21
ENSGMOG00000010417	0.972423706970079	5.48251593261157	102.496378115015	4.32157059191883e-24	4.9062173562827e-21
ENSGMOG00000004256	2.28816936467019	1.9548949648404	99.0441770481975	2.46931494113858e-23	2.61648611163044e-20
ENSGMOG00000016313	1.12805445142164	9.19365116854896	98.121525079506	3.93478365824412e-23	3.90871571650826e-20
ENSGMOG00000006802	1.0514243704599	6.63332337147775	94.6791198664015	2.23888367966996e-22	2.09322454145143e-19
ENSGMOG00000015700	1.1367517375205	3.8062548400262	93.9200446294273	3.28530229715593e-22	2.90092192838869e-19
ENSGMOG00000005891	3.95882491876347	0.765783294592744	91.1818268392706	1.31058403138063e-21	1.09633803130335e-18
ENSGMOG00000005541	0.738956999276942	8.18933299137812	90.6251721272892	1.73637235908711e-21	1.37989511376652e-18
ENSGMOG00000012331	2.01265389651286	1.34576515062972	88.3400482374383	5.51161997081276e-21	4.17150894362372e-18
ENSGMOG00000020500	3.16993166454942	3.41572019524834	86.7318871853667	1.24276803258149e-20	8.97843414084098e-18
ENSGMOG00000006550	-1.00279825006163	4.04603799766927	86.3300605954896	1.52276161243859e-20	1.05229448122169e-17
ENSGMOG00000014517	2.00113192707514	1.34793548785779	86.2279785082683	1.60343015524301e-20	1.06187162030968e-17
ENSGMOG00000008529	-1.16053053575289	3.25642277154699	85.5169939565725	2.29718855934757e-20	1.40428903701039e-17
ENSGMOG00000017790	0.703184118604564	6.42416295733278	85.5692696632039	2.23725431878652e-20	1.40428903701039e-17
ENSGMOG00000005695	-1.65330264907132	3.01970692428262	81.9567114516768	1.39100162138218e-19	8.18836287786979e-17
ENSGMOG00000013646	0.877084601502511	4.5201700133209	80.6863029111479	2.64549519327809e-19	1.48495060894249e-16
ENSGMOG00000006836	0.776599484293583	5.52306872672124	80.6391193895139	2.70942290545692e-19	1.48495060894249e-16
ENSGMOG00000011732	6.15490068713311	-0.393196228806997	80.3190527154883	3.18582381581505e-19	1.65887564506441e-16
ENSGMOG00000012707	0.910708247305425	4.53783752502021	80.2884752165541	3.23550679482802e-19	1.65887564506441e-16
ENSGMOG00000007659	1.92022316329025	1.12947001951951	78.7402392926205	7.08378690967655e-19	3.51842841069997e-16
ENSGMOG00000005079	0.828612077872952	4.38220168517476	75.9594520161229	2.89549787770916e-18	1.39457706873665e-15
ENSGMOG00000005657	1.30307109514013	2.71370752190451	74.2436612989204	6.90461690504546e-18	3.22770532614096e-15
ENSGMOG00000000267	0.698056256114848	6.72732153025056	73.4424301707381	1.03614612416586e-17	4.70528757071204e-15
ENSGMOG00000016676	-1.62035877473493	1.52105758000658	72.9747421171097	1.3131969646184e-17	5.6410682582824e-15
ENSGMOG00000015913	0.912599202454831	4.24012776210501	73.0287091272807	1.27777585993886e-17	5.6410682582824e-15
ENSGMOG00000017182	1.12464852654692	5.16305876447767	72.4185269319809	1.74072054475842e-17	7.28079272062904e-15
ENSGMOG00000015260	1.02893701393949	6.36418132164973	71.2462474086736	3.15309991821828e-17	1.28500948974773e-14
ENSGMOG00000000322	2.20465819153626	1.136645808716	70.9894020725723	3.59148933257599e-17	1.42707828629907e-14
ENSGMOG00000011527	0.670909096054016	6.91964860383095	70.41631426976	4.80211477898247e-17	1.8615807877353e-14
ENSGMOG00000006775	-1.93748109875793	0.86373852822373	70.3144393919791	5.05662107674903e-17	1.91356989032974e-14
ENSGMOG00000001294	-0.779001316425539	7.2948720790603	68.7920002658491	1.09415631287793e-16	4.0443070783446e-14
ENSGMOG00000017647	0.950630895487593	3.33204631826178	67.8379451451644	1.77500477903255e-16	6.41180135407804e-14
ENSGMOG00000016449	1.1647575010751	6.00018106144072	61.1717337156073	5.23071440855208e-15	1.84748832910059e-12
ENSGMOG00000009708	0.774211636242726	4.88493837384579	60.5559332016552	7.15172067829288e-15	2.47107496653885e-12
ENSGMOG00000006754	-0.974063857641064	5.5135170308345	59.8461555511111	1.02569509620283e-14	3.46859528915909e-12
ENSGMOG00000017470	1.48307213854699	3.66306945590876	59.3915171780621	1.2922492059053e-14	4.27896018305392e-12
ENSGMOG00000016248	1.6057402737563	2.21187156139676	59.1441638756288	1.46533304012991e-14	4.75306190608669e-12
ENSGMOG00000001116	2.16257713753969	-0.147528822706176	58.8376875292758	1.7122990971733e-14	5.44305637009448e-12
ENSGMOG00000017213	1.33432090242445	1.86745354215826	58.1221517552817	2.46336776414215e-14	7.67701318495595e-12
ENSGMOG00000016942	0.662828491760688	7.66970410421016	56.6803771760603	5.12726489204734e-14	1.56716823450385e-11
ENSGMOG00000008616	1.10022604231128	2.74315679094182	55.4906270615184	9.39057026556059e-14	2.77309466720856e-11
ENSGMOG00000015057	0.698721514840463	5.39476671156388	55.4841396024273	9.42161268587281e-14	2.77309466720856e-11
ENSGMOG00000012689	1.28960264169453	1.33598180163097	54.3502097675063	1.67760088717279e-13	4.84796154558623e-11
ENSGMOG00000003925	0.647983134164753	4.59446029574155	53.7556921772302	2.27035479124952e-13	6.44375340216425e-11
ENSGMOG00000017228	1.21578009906765	2.30676256102449	52.9125548392638	3.48733321947748e-13	9.72415336673246e-11
ENSGMOG00000002424	0.802357900655975	5.77297880471284	52.7241989909016	3.83832630956269e-13	1.05183376489982e-10
ENSGMOG00000015312	1.04060274641241	2.43598674506064	51.8999406650804	5.84021803189433e-13	1.57329534574455e-10
ENSGMOG00000014615	1.77134685785339	0.640475169570032	51.6322135981391	6.69342814897966e-13	1.77308911666471e-10
ENSGMOG00000015825	1.921096347119	0.0679215621463782	50.8825913599149	9.80594514526943e-13	2.39644035848467e-10
ENSGMOG00000004062	-1.91552102354734	1.15254137314049	50.9882159244967	9.29221474777032e-13	2.39644035848467e-10
ENSGMOG00000018606	1.79098184789375	3.22270394462081	50.868175982073	9.87822778907374e-13	2.39644035848467e-10
ENSGMOG00000017082	1.36498123261119	2.22938047281817	50.9075550107299	9.68202026544605e-13	2.39644035848467e-10
ENSGMOG00000009803	-1.09632057435468	2.51502652013738	50.9278920745707	9.58222209209255e-13	2.39644035848467e-10
ENSGMOG00000010903	0.808557731469036	3.30392157261269	50.8537211864359	9.95124346671627e-13	2.39644035848467e-10
ENSGMOG00000012687	2.53231335215007	4.83807324446985	50.7097354201701	1.07087062246796e-12	2.51001782751443e-10
ENSGMOG00000005564	1.53982303419834	2.00958263852444	50.7042422386847	1.07387197855154e-12	2.51001782751443e-10
ENSGMOG00000004709	0.849521637423985	4.09814616794379	50.3136364493052	1.31035824569687e-12	3.01838173291392e-10
ENSGMOG00000019128	-0.900586262074597	4.1625713022212	49.8546824547395	1.65564795485832e-12	3.75926694207401e-10
ENSGMOG00000007792	1.31510793745376	1.55270043198513	49.5381076536866	1.94555647047075e-12	4.35530627347353e-10
ENSGMOG00000013990	0.785225700507663	3.58681795374342	49.1856704827196	2.32845446538313e-12	5.14006323233327e-10
ENSGMOG00000015982	0.818584383200019	4.11469752748025	48.4492049715562	3.38955706940347e-12	7.37994795357516e-10
ENSGMOG00000005326	0.570162106739397	5.71126137588845	47.7132383184628	4.93348957893755e-12	1.05963355902207e-09
ENSGMOG00000001057	0.893027230393747	2.76127194277201	47.6159061574953	5.1846105258675e-12	1.09872266264184e-09
ENSGMOG00000007307	2.47732493815524	-0.730107717023324	47.5735083899974	5.29796086943066e-12	1.10797092182541e-09
ENSGMOG00000000309	0.807843820295789	3.40874521217504	47.2131027123751	6.36733747634258e-12	1.31431768635051e-09
ENSGMOG00000008398	0.929994854584497	3.59631595109458	46.6130853551706	8.64808356489738e-12	1.76221333564717e-09
ENSGMOG00000003721	0.939308602951603	2.80536514112739	46.0041958704159	1.17999991817787e-11	2.37404034171128e-09
ENSGMOG00000003005	0.556980472194294	6.40141289804351	45.9597992021888	1.20704647265979e-11	2.39809957955684e-09
ENSGMOG00000011429	1.07471417004805	1.75622079527194	45.9058651127441	1.24073932539673e-11	2.43460627627847e-09
ENSGMOG00000006435	-1.35603562077916	1.9176549463447	45.5942438274897	1.45468441095747e-11	2.81960414972659e-09
ENSGMOG00000009289	1.39866718889854	2.87079973001903	45.53611653279	1.49850078641615e-11	2.86953873485521e-09
ENSGMOG00000018501	1.05574897469802	2.54276925163718	45.2633072679799	1.72246179256407e-11	3.25914377750158e-09
ENSGMOG00000005153	0.530045812832564	5.53552528930194	44.7901506439009	2.19323159776278e-11	4.1010850605696e-09
ENSGMOG00000014902	0.685284214495697	4.05305148309169	44.1706131086652	3.00965760012283e-11	5.49833309153474e-09
ENSGMOG00000003572	0.660860366614983	6.15767609994486	44.1874209187764	2.98392623307946e-11	5.49833309153474e-09
ENSGMOG00000008499	0.870707287571091	2.97130937160577	44.047779417569	3.20457211524949e-11	5.7878942272472e-09
ENSGMOG00000002668	-0.621850254008409	6.67914651446169	43.9232270612772	3.41511959095122e-11	6.09886637961559e-09
ENSGMOG00000007148	0.583327392163863	7.10522988882285	43.5167937830621	4.20336587579233e-11	7.42314413664926e-09
ENSGMOG00000015458	-0.929088556294338	2.33722458246329	43.0623534670846	5.3022762387275e-11	9.26092071849833e-09
ENSGMOG00000017371	0.803139001699301	2.76659333677297	42.8036919924591	6.05178354679253e-11	1.04551138796435e-08
ENSGMOG00000013916	-1.03501521884453	4.87205383675564	42.4198807995907	7.36377063190302e-11	1.25849215509104e-08
ENSGMOG00000014938	-1.52212624747891	0.711751482522463	42.3057954604712	7.80608975681839e-11	1.31989351696672e-08
ENSGMOG00000003812	0.644807496881568	4.41874638997618	41.8497523051026	9.85632575616853e-11	1.64901517440571e-08
ENSGMOG00000012444	0.539034911654735	6.5676650834557	41.5620861074893	1.14186373352321e-10	1.89049814381436e-08
ENSGMOG00000017490	0.867842664261553	3.14020603877545	41.454062681099	1.20673513985052e-10	1.97730394977157e-08
ENSGMOG00000000800	-0.781989354841663	5.57239497192766	41.230231402709	1.35313448970918e-10	2.1945632223916e-08
ENSGMOG00000011985	0.637505483848654	4.37986031159534	41.179552751305	1.38867668917456e-10	2.22945730280206e-08
ENSGMOG00000018494	0.925900057840487	2.4099691088131	41.0183409558774	1.50807333176409e-10	2.39693175350584e-08
ENSGMOG00000007994	-1.15736434285922	5.27464892185714	40.628782537951	1.84075170838897e-10	2.89672353001329e-08
ENSGMOG00000013623	1.44455558873862	2.70763530761904	40.5732344716297	1.89383138834903e-10	2.92879583714726e-08
ENSGMOG00000011194	1.19510031943988	7.13176819042208	40.568952144434	1.89798648059751e-10	2.92879583714726e-08
ENSGMOG00000004556	1.03121048301104	1.89481804079516	40.1545939366546	2.34639057834265e-10	3.58591652424789e-08
ENSGMOG00000017945	-0.661590608900397	3.46848604641866	39.882379661448	2.69725488008578e-10	4.08287324419842e-08
ENSGMOG00000007683	0.852294827133026	2.61456222756306	39.3151232458944	3.60637244619751e-10	5.40751732640219e-08
ENSGMOG00000010729	-0.520526863379273	6.98334826017613	38.4718230981514	5.55499296117102e-10	8.17509797452335e-08
ENSGMOG00000011071	0.51678899494662	6.69528091366629	38.4858896176504	5.51509882268846e-10	8.17509797452335e-08
ENSGMOG00000011765	-0.686140190238263	5.15623287687305	38.440425477772	5.64508521619641e-10	8.23146646112162e-08
ENSGMOG00000013035	-0.830872159958015	4.49015499759607	38.3617555080232	5.8772978975318e-10	8.49216116212459e-08
ENSGMOG00000012404	1.16178134349369	1.87375462562063	38.2370623000938	6.26510879488946e-10	8.9709584852228e-08
ENSGMOG00000004190	-0.737229643206274	3.80002349757165	38.1524992424379	6.54258872705709e-10	9.28463439534334e-08
ENSGMOG00000013815	-0.783067087329791	3.26022349313136	38.0994830240865	6.72279415421785e-10	9.45593719355208e-08
ENSGMOG00000008014	0.822281540241403	4.48232444153505	38.0655505892859	6.84073230338935e-10	9.53742098509389e-08
ENSGMOG00000016621	-0.788099386657154	3.82032142284967	37.3329002495123	9.95902665167208e-10	1.37642408349284e-07
ENSGMOG00000003994	0.660194615094715	4.38922473852236	37.2309744767714	1.0493375190661e-09	1.42548466051595e-07
ENSGMOG00000006831	0.56768166970927	4.90712991135641	37.2378317481869	1.04565418145724e-09	1.42548466051595e-07
ENSGMOG00000018206	0.579858476017688	5.34391323032236	36.9598770043746	1.20585291921733e-09	1.62422256763053e-07
ENSGMOG00000003732	-0.494517239214814	5.65878505220396	36.7222383267142	1.3621666026236e-09	1.8193509228655e-07
ENSGMOG00000012391	-1.01288125527969	2.6194867005741	36.6925969034144	1.38303657842397e-09	1.83183194812255e-07
ENSGMOG00000015758	0.881467567847634	2.61718304809941	36.4810425170091	1.54158312397435e-09	2.02495224565689e-07
ENSGMOG00000012244	0.831202669637225	2.15473401496221	36.0650480610234	1.90839332026717e-09	2.48622978953495e-07
ENSGMOG00000001039	-1.30734903504333	3.33197510195186	35.6415967846951	2.3716874083643e-09	3.06468289988147e-07
ENSGMOG00000003354	0.952225539378962	2.87326519286483	35.2874535162776	2.84458680081191e-09	3.64611795258907e-07
ENSGMOG00000007300	1.62419651911801	-0.240646154851523	35.2207614421888	2.94368564010304e-09	3.71324917172998e-07
ENSGMOG00000008152	0.681191409733854	3.47999153092939	35.2348322288712	2.92249384411424e-09	3.71324917172998e-07
ENSGMOG00000020426	0.706521340846605	3.83052595495002	35.1884519841238	2.99293059868769e-09	3.71637804183922e-07
ENSGMOG00000017198	-0.634945120101828	4.39934189817454	35.1976155219459	2.97888063791428e-09	3.71637804183922e-07
