genes	logFC.oilhigh	logFC.oillow	logCPM	F	PValue	FDR
ENSGMOG00000013503	5.59373309766034	1.98972480286311	4.6762718332094	1217.53425908801	3.81467412843978e-15	4.87454956479877e-11
ENSGMOG00000005936	4.96095423086043	3.63790349565346	8.49957340106498	1090.55070310539	7.60719835391037e-15	4.87454956479877e-11
ENSGMOG00000000318	6.97622300735761	5.56975399163963	11.2769763170527	1058.96598504128	9.14492445400307e-15	4.87454956479877e-11
ENSGMOG00000003965	3.57386760970928	2.38738563802336	5.70833811009066	938.620981384416	1.94635775055175e-14	7.78105169726827e-11
ENSGMOG00000010256	5.31645090532209	1.96275662216679	4.01052190811085	890.559465401968	2.70440436093905e-14	8.64922602715526e-11
ENSGMOG00000013760	3.18175112522544	1.81606985099975	5.6805415337157	845.115806176458	3.75287000855154e-14	1.00020240511246e-10
ENSGMOG00000016268	5.30533044317216	3.15931187830753	4.08188379894653	735.42939805788	8.94880902618503e-14	2.0442915019675e-10
ENSGMOG00000018132	2.52859784806614	1.26807234468963	7.69137301407517	718.222306436452	1.03751694139642e-13	2.07386667623377e-10
ENSGMOG00000020141	7.38514173950383	4.52500581454488	8.17113821029376	698.058999984778	1.23945288046248e-13	2.08863493624603e-10
ENSGMOG00000015943	3.68475804999145	1.8738203274854	6.1392117795849	685.568398256029	1.38736852257681e-13	2.08863493624603e-10
ENSGMOG00000008808	2.93755148668625	2.15867502057207	4.9003514416865	673.748988798915	1.54647722370626e-13	2.08863493624603e-10
ENSGMOG00000000799	2.40142295049715	1.11471596071027	7.28718681574101	672.30302336987	1.56735784097007e-13	2.08863493624603e-10
ENSGMOG00000006075	3.66993260866092	2.13987495555071	6.64634550966197	654.9216370426	1.84574465905041e-13	2.27040791099039e-10
ENSGMOG00000012605	2.63088818164765	1.68463536417147	7.47851519879348	634.288291622784	2.25384033118261e-13	2.32562706981243e-10
ENSGMOG00000012687	3.59020537674941	2.02659015037359	7.83995217477765	628.993077971485	2.37485547057551e-13	2.32562706981243e-10
ENSGMOG00000007404	6.21040728385298	3.75589574483376	6.81371989987157	625.117914232557	2.46819890814156e-13	2.32562706981243e-10
ENSGMOG00000017840	4.26892590860416	2.18447512627123	2.76192139366627	624.948752524312	2.4723694695023e-13	2.32562706981243e-10
ENSGMOG00000014744	2.5303830678444	1.46998914254974	6.38267977851562	610.840161208598	2.85080698537301e-13	2.53262525017221e-10
ENSGMOG00000005801	2.34011504206885	1.19543221580172	5.74543933209592	587.871114838603	3.6204152434242e-13	3.04705579776823e-10
ENSGMOG00000004256	3.96240882365066	2.09937134993104	3.54684620684911	577.607062283251	4.0405693898016e-13	3.08465821089316e-10
ENSGMOG00000001528	2.84224482107446	1.33258976304952	7.05196933758762	577.370651922132	4.05089252884474e-13	3.08465821089316e-10
ENSGMOG00000015175	5.42895756492237	2.69391758763056	5.95381852000408	571.326785197448	4.32547951667538e-13	3.14403377050709e-10
ENSGMOG00000002874	3.3700711811596	1.96168812544791	6.26714047628419	566.361860046834	4.56727152322528e-13	3.17544517077806e-10
ENSGMOG00000013233	3.83953876788475	1.56895965329274	3.73696273458055	559.024757767397	4.95385865384252e-13	3.30071473889982e-10
