genes	logFC.oilhigh	logFC.oillow	logCPM	F	PValue	FDR
ENSGMOG00000000318	6.48957114866981	5.44703692829899	11.3420383854261	911.548329617709	1.47457456335939e-14	2.37775148341701e-10
ENSGMOG00000020141	7.74438037802657	6.04123014536334	9.02659723205599	728.965889747485	6.11898623561541e-14	4.93343265246493e-10
ENSGMOG00000009114	4.51414670786347	3.19855540494004	4.79599963415651	635.491960095313	1.46394120591888e-13	7.86868398181398e-10
ENSGMOG00000013920	3.86443310788037	2.54211172763352	2.84813522861912	457.055231275545	1.18349960216102e-12	4.77098277121162e-09
ENSGMOG00000013503	5.9684618580354	4.27657543328671	5.11678467261243	383.674201788189	3.57691701458692e-12	1.15355573720428e-08
ENSGMOG00000019790	5.26308416465588	3.62775368061235	5.6421501394329	369.595876013337	4.52837036606036e-12	1.21699953587872e-08
ENSGMOG00000010031	2.03320300991831	1.2290140309207	3.8065534763496	356.56863288861	5.67810127679441e-12	1.30799118697585e-08
ENSGMOG00000019618	1.8656501492507	1.32409204656712	4.10441189020906	230.374535699029	8.80351493346051e-11	1.77445847877563e-07
ENSGMOG00000017371	2.18025573431285	0.812406229575062	3.59397945863954	185.190112651497	3.42534215529491e-10	5.72840840347577e-07
ENSGMOG00000006550	-1.64680884399776	-0.993757621826328	3.74563520547872	184.104764226352	3.55250133548885e-10	5.72840840347577e-07
ENSGMOG00000004256	3.6013051590919	2.30109855408123	2.98828448223898	179.623257303311	4.13874140687727e-10	6.06701865326327e-07
ENSGMOG00000000322	3.88235010242698	2.21699756675927	2.42187347105317	168.165295806573	6.22319455495032e-10	8.3624176832145e-07
ENSGMOG00000020500	4.07045252279307	3.16057224106686	4.27021760424842	164.700109481606	7.07754088775666e-10	8.77887283192894e-07
ENSGMOG00000012325	4.57300936806981	2.45240340906719	0.425899202872719	149.383950568896	1.29179402962366e-09	1.28322295324889e-06
ENSGMOG00000005541	1.11064435361661	0.748259802846729	8.46516199252034	148.74809291899	1.32614158296512e-09	1.28322295324889e-06
ENSGMOG00000002101	1.27318297660462	-0.0100673184286901	4.64098577343005	148.667133815705	1.33059011285896e-09	1.28322295324889e-06
ENSGMOG00000005657	2.11222698569958	1.31414320890431	3.3001764157162	148.266577654727	1.35285520652597e-09	1.28322295324889e-06
ENSGMOG00000009032	-2.26353796563926	-2.57302739364624	1.8976505581725	145.109377506233	1.54425638342336e-09	1.38339634348343e-06
ENSGMOG00000005936	2.15713432702066	0.612681244916569	2.4462575968413	143.282249796048	1.6692705648833e-09	1.4166835715128e-06
ENSGMOG00000000267	1.10499751780636	0.707543261354644	7.01201497662715	131.990820001443	2.76105068011284e-09	2.22609711084098e-06
ENSGMOG00000018803	-2.39547132765878	-1.85009569591161	3.71729106051172	129.695503398866	3.07380721082764e-09	2.36024482259979e-06
ENSGMOG00000001116	3.67629599837393	2.17191641879636	0.983414201457561	128.041593313398	3.32465075310888e-09	2.41541146653842e-06
ENSGMOG00000017790	1.02724740128229	0.712620571054587	6.67298796910832	127.297092674746	3.44523806079899e-09	2.41541146653842e-06
ENSGMOG00000013646	1.26613479970482	0.8864769254158	4.82633264456127	125.333231867497	3.78836551874085e-09	2.54530808290401e-06
ENSGMOG00000010952	-3.35127523936277	-2.34476695963829	1.30591427075871	120.784010804407	4.74653418134065e-09	3.06151454696472e-06
ENSGMOG00000012331	2.58061261522449	2.0226184923209	1.89084819769289	118.102899467971	5.4418054371665e-09	3.37496587208884e-06
ENSGMOG00000010417	1.32321577493378	0.981777959465398	5.7864432511571	116.232205030741	5.99690004308914e-09	3.58148197017824e-06
ENSGMOG00000011429	1.74921068446858	1.08396738256952	2.23542696480266	115.113753504493	6.35998529659571e-09	3.66267010384307e-06
ENSGMOG00000003925	0.940571841614532	0.657152714400684	4.82009695210491	112.944016089593	7.13934969797193e-09	3.96972461654474e-06
ENSGMOG00000008499	1.56302776273707	0.879783140516944	3.42234909083951	111.307090296463	7.80083154383583e-09	4.1598806580861e-06
ENSGMOG00000007659	2.4931054955544	1.92760335127655	1.6722611813361	110.851654687959	7.99728994732832e-09	4.1598806580861e-06
ENSGMOG00000003572	1.4856151649076	0.670742614765621	6.63737687444091	109.21829386823	8.75045506670044e-09	4.40940899845452e-06
ENSGMOG00000015913	1.30225970603804	0.921515032977959	4.55265116812357	107.312239092538	9.73527981696454e-09	4.75701172874404e-06
ENSGMOG00000001057	1.39785511947275	0.902199547036404	3.12384024596077	106.038988686506	1.04646181437853e-08	4.94093024349182e-06
ENSGMOG00000009289	2.83474580724136	1.39899669989229	3.86086853051363	104.397944892465	1.14997788166019e-08	4.94093024349182e-06
ENSGMOG00000006574	2.35157315699904	2.2143641548501	1.60337621813167	104.150749013956	1.16657555328698e-08	4.94093024349182e-06
ENSGMOG00000014517	2.5245600828252	2.01428285508125	1.87758892286989	104.034149825556	1.17450046724325e-08	4.94093024349182e-06
ENSGMOG00000018692	1.37119013699938	0.528201877471194	5.24641854079082	103.612988434192	1.20364851624819e-08	4.94093024349182e-06
ENSGMOG00000008398	1.64874821126363	0.937569244680259	4.07235033205367	103.329923750072	1.22370904034798e-08	4.94093024349182e-06
ENSGMOG00000012689	1.95156965303581	1.2984795976121	1.84611666483723	103.302721434547	1.22565711466464e-08	4.94093024349182e-06
ENSGMOG00000017470	2.44748069625452	1.49870816391557	4.36515333677304	102.840209135297	1.25933450709121e-08	4.95287046996236e-06
ENSGMOG00000016250	5.62527722172485	4.25885960069144	0.407657882856395	100.768244129883	1.42395728360845e-08	5.46697885671103e-06
ENSGMOG00000010903	1.44230520297785	0.817800822116792	3.7155859800359	100.30350273893	1.46421969929702e-08	5.49082387236383e-06
ENSGMOG00000018606	2.94807288883458	1.79400121510791	4.09699609359565	98.7073011641962	1.61288038005728e-08	5.80157423783057e-06
ENSGMOG00000003005	0.98444289287549	0.56650477766797	6.67025838287774	98.2308020862101	1.6605901541225e-08	5.80157423783057e-06
ENSGMOG00000020426	1.40490994186502	0.71600127029189	4.25459672639716	98.1298106618053	1.67091033071593e-08	5.80157423783057e-06
ENSGMOG00000000309	1.3182445141298	0.817105670334485	3.75895064746545	97.9352542844359	1.69100148327465e-08	5.80157423783057e-06
ENSGMOG00000016248	2.67996356187242	1.61900528885044	2.99465393530793	97.5092431350928	1.73597721218683e-08	5.83179844719014e-06
ENSGMOG00000005564	2.55258042615256	1.54571048579045	2.75680581366625	95.1393928838576	2.01292084901588e-08	6.6241527939553e-06
ENSGMOG00000017647	1.27526750092914	0.960365507890788	3.61981720559493	94.4406928743094	2.10409632673923e-08	6.78571065373402e-06
ENSGMOG00000005891	4.94312087827375	3.9206227622243	1.73274304842381	93.8380939015317	2.18658172377901e-08	6.91345692077186e-06
ENSGMOG00000006836	1.02596676116811	0.785892230142232	5.7515415316382	91.7862435896795	2.49684750459287e-08	7.74262807914617e-06
ENSGMOG00000011390	1.37180739226434	0.431027813068219	4.39719763889929	91.0904702160094	2.61340404981426e-08	7.82634472695177e-06
ENSGMOG00000012244	1.76530178158011	0.840611369619457	2.73161523714327	91.0468671859474	2.62091544344431e-08	7.82634472695177e-06
ENSGMOG00000009708	1.13951992621184	0.78341392442411	5.16326376792595	90.6751271299256	2.68597761218138e-08	7.87479799934995e-06
ENSGMOG00000005326	0.844050702102193	0.579536221039049	5.91615607643146	89.819201451482	2.84300912926456e-08	8.18634325167696e-06
ENSGMOG00000006802	1.44685797233703	1.06037137852162	6.97055372423571	89.345665938484	2.93443497132206e-08	8.22900065201324e-06
ENSGMOG00000015982	1.35823158431766	0.827821073638678	4.48162261376166	89.2168594267676	2.95988860661562e-08	8.22900065201324e-06
ENSGMOG00000015057	1.04784896691292	0.70819331090451	5.65328757470517	88.7762555915762	3.0489069118805e-08	8.33281761933441e-06
ENSGMOG00000001785	0.906580376124717	0.332196502384944	5.99596776027067	86.2263468595399	3.62919289865265e-08	9.75345591512901e-06
ENSGMOG00000017182	1.43258314540877	1.13177002101051	5.47126041986571	85.8062478380927	3.73659107984541e-08	9.87746412500119e-06
ENSGMOG00000002200	1.64892101489927	0.329440469273273	2.03609007121917	85.275671791986	3.87752454923687e-08	1.00846908639427e-05
ENSGMOG00000013990	1.12558344098078	0.794587105077054	3.85574251045135	84.6301107386939	4.0573649642109e-08	1.03849222298255e-05
ENSGMOG00000001294	-1.02129857393197	-0.769582951310694	7.10585629482831	83.4864600869819	4.40018035020221e-08	1.10863918979704e-05
ENSGMOG00000019519	1.14527689442962	0.575933339780073	3.77671618654643	83.1305510731373	4.5136155070096e-08	1.11972384693123e-05
ENSGMOG00000011527	0.947505842815077	0.680161441280734	7.14265904394624	82.8606451612459	4.60189631357945e-08	1.12432694024953e-05
