genes	logFC	logCPM	F	PValue	FDR
ENSGMOG00000008938	3.40789851772512	6.83856306167146	2007.52971622271	5.01844887137848e-13	7.88197579738704e-09
ENSGMOG00000005936	3.43842102035794	3.75205691059516	1188.64463850297	7.10442519845326e-12	5.57910510834534e-08
ENSGMOG00000012605	2.07547418522376	5.00582768619761	787.40893939612	5.65855370488209e-11	2.73492855453217e-07
ENSGMOG00000002101	3.05661494931978	6.27769888588037	739.378211000873	7.76405635369466e-11	2.73492855453217e-07
ENSGMOG00000012687	2.29078002990503	4.61084418201619	722.704678660151	8.70663617258427e-11	2.73492855453217e-07
ENSGMOG00000000372	2.78222954603623	4.89929689105446	693.974729016864	1.06736899372927e-10	2.79401623591864e-07
ENSGMOG00000009293	2.14708012339129	6.37561191908595	656.760587847864	1.40745547384194e-10	3.15792795316593e-07
ENSGMOG00000002200	3.30227226734868	3.58624539803005	624.640848612353	1.80982095037792e-10	3.26382733686934e-07
ENSGMOG00000003387	2.217052833629	4.34434931518129	620.560047797626	1.87026907117178e-10	3.26382733686934e-07
ENSGMOG00000019394	2.5515024040401	4.2112577193123	565.496843204832	2.97868306437296e-10	4.67831962090417e-07
ENSGMOG00000017517	1.60487767844702	4.99455052825996	547.185582075039	3.51200504198192e-10	5.01450465357891e-07
ENSGMOG00000010885	1.8384776381098	6.19306895429284	519.350897556648	4.55960149603692e-10	5.96775842472965e-07
ENSGMOG00000001072	1.53539747334437	5.1034533023641	441.824545266116	1.02165903062704e-09	1.23432128730987e-06
ENSGMOG00000009173	3.32444592422403	7.60669378439216	433.854386837017	1.11863702934162e-09	1.25495094163139e-06
ENSGMOG00000002874	2.43222919795668	3.1891201482951	406.349816664197	1.54973355293613e-09	1.47630391971753e-06
ENSGMOG00000009590	1.51856612902647	8.69055224997937	406.041650850635	1.55559203853852e-09	1.47630391971753e-06
ENSGMOG00000004103	1.41089355142722	5.438212365768	403.854849520014	1.59793496976939e-09	1.47630391971753e-06
ENSGMOG00000001528	1.95412189572756	4.56533761921168	398.156137717917	1.71492798242743e-09	1.49636993844473e-06
ENSGMOG00000004126	1.51649555116583	6.42338624231326	379.987173127653	2.16286775478438e-09	1.78789478719176e-06
ENSGMOG00000006851	1.66115646310878	3.98111468077415	317.517743499612	5.26606971553872e-09	4.13544454761255e-06
ENSGMOG00000008127	1.4393692309788	8.05557871788929	312.484155988255	5.69875757894457e-09	4.2621279302335e-06
ENSGMOG00000000365	1.73804999196283	5.30035220090964	301.498848280903	6.80023564333097e-09	4.85475004609801e-06
ENSGMOG00000014744	1.66812066160782	4.12395736735928	288.048710136892	8.51664949594252e-09	5.61853038779348e-06
ENSGMOG00000010265	1.79632743716702	2.95180211876672	287.578094577087	8.5855551577132e-09	5.61853038779348e-06
ENSGMOG00000004987	1.35557764860447	6.75394131197286	271.213541935728	1.1456207225615e-08	7.19724762742038e-06
ENSGMOG00000008326	1.42774337862383	4.77975008095141	268.632927238872	1.2007722207621e-08	7.25358788434212e-06
ENSGMOG00000018332	1.09313650587412	7.4961951491032	246.766728768817	1.82181323150712e-08	1.05975550422411e-05
ENSGMOG00000019024	1.06079201511362	6.3838351027882	243.229438154973	1.95540809357604e-08	1.09684426848948e-05
ENSGMOG00000014010	1.52031659671179	4.24609632805212	240.886194185826	2.05038086313434e-08	1.11045799435821e-05
ENSGMOG00000005752	1.25531952878865	5.00198525458008	237.942259797278	2.17764422547431e-08	1.14006934017665e-05
ENSGMOG00000010419	1.17281838727758	5.85201196196377	234.895268968248	2.31944909117563e-08	1.14097492259887e-05
ENSGMOG00000002321	2.42618956021526	1.95279063221886	234.787460856796	2.32466557514095e-08	1.14097492259887e-05
ENSGMOG00000006795	0.949217817323899	7.6345861939212	217.251403785795	3.39691071924868e-08	1.57695479111977e-05
ENSGMOG00000003965	1.83965916530694	2.49243345617843	215.654507110642	3.5213808640032e-08	1.57695479111977e-05
ENSGMOG00000006075	1.42249688021189	3.5252686999141	214.777400781918	3.59206789846397e-08	1.57695479111977e-05
