genes	logFC.uvyes.oilhigh	logFC.uvyes.oillow	logCPM	F	PValue	FDR
ENSGMOG00000018132	2.44316835791341	1.31104589577689	6.98463238468364	370.528389532832	1.17735132516388e-15	1.93003202734115e-11
ENSGMOG00000000799	2.21433035959268	1.08474820354761	6.69005002746971	293.694849009679	9.53606581871351e-15	7.81623634830853e-11
ENSGMOG00000015943	3.17104720693374	1.80750635328973	5.36320519452768	261.184845196242	2.72654914939674e-14	1.44381367999303e-10
ENSGMOG00000013760	2.81917238992916	1.65168492542628	4.98453033129971	243.654884621888	5.06946914760842e-14	1.44381367999303e-10
ENSGMOG00000005453	2.41768528195461	1.10569663483765	6.23640173769758	243.235466571005	5.14793735278949e-14	1.44381367999303e-10
ENSGMOG00000010256	6.21918617265964	2.74387870658559	3.12720930095356	242.5221469313	5.28450075029477e-14	1.44381367999303e-10
ENSGMOG00000006018	1.68440057349201	-0.0608434747097696	5.37398586448873	237.872336336769	6.27947632515207e-14	1.47056364854597e-10
ENSGMOG00000002386	1.82484528023601	1.04051692211791	7.93004246692925	231.68728225755	7.93951753907476e-14	1.59391034585859e-10
ENSGMOG00000012564	2.34604250122707	1.04161673160209	6.27109151307611	228.49449658248	8.98274125105946e-14	1.59391034585859e-10
ENSGMOG00000009293	2.52941567455019	1.96567901031023	8.10599813351557	223.62057306427	1.08807477366485e-13	1.59391034585859e-10
ENSGMOG00000005514	1.92982333342931	1.03750815445234	7.03596702887978	223.052803978778	1.11293477933035e-13	1.59391034585859e-10
ENSGMOG00000015944	2.17526022943548	1.05008957591633	8.21763290101288	221.869939603581	1.16677387606314e-13	1.59391034585859e-10
ENSGMOG00000008534	1.67348076225474	0.91813040633695	8.97018441166986	215.82250019428	1.49124507138909e-13	1.80702894584142e-10
ENSGMOG00000005801	2.30433843408372	1.22776102056786	5.131930706404	214.087461822264	1.60195823327389e-13	1.80702894584142e-10
ENSGMOG00000001528	2.71933879292071	1.09984765091711	6.2136189211409	211.044997255111	1.81877129402352e-13	1.80702894584142e-10
ENSGMOG00000002396	5.50739257220445	2.73079746048146	4.56104108916792	208.653813429494	2.01206179108638e-13	1.80702894584142e-10
ENSGMOG00000002560	1.84672424816881	0.876278433358294	5.53675731168079	208.621265694532	2.01484515510431e-13	1.80702894584142e-10
ENSGMOG00000012345	2.49809996732171	0.639166312210796	4.76110597903498	207.269631525191	2.13428719166985e-13	1.80702894584142e-10
ENSGMOG00000003907	1.90763556771693	1.11559539228967	8.03498530146894	206.677165623123	2.18909869491554e-13	1.80702894584142e-10
ENSGMOG00000001198	2.42045631839076	1.20156130341806	5.71258604733026	205.248897321523	2.32775919751471e-13	1.80702894584142e-10
ENSGMOG00000012503	1.28742861487754	0.46669856271781	6.40863932756811	204.326108063489	2.4225102215265e-13	1.80702894584142e-10
ENSGMOG00000006625	2.04014861875619	1.05861642451309	6.23279674265649	204.301466317348	2.42509832297391e-13	1.80702894584142e-10
ENSGMOG00000006795	1.63276244489914	1.08456869444952	8.41260294559413	202.469983363132	2.62631417854936e-13	1.87187688386781e-10
ENSGMOG00000019246	2.30430297971124	1.00804483220986	6.24672288068991	200.905943152657	2.81285202016116e-13	1.92129513193758e-10
ENSGMOG00000012605	1.88969941590974	1.70352045702586	6.64400478579507	199.002748787069	3.059917295602e-13	2.00644896907214e-10
ENSGMOG00000008538	2.70231299266607	1.40075589431554	5.83440639662182	193.963994767303	3.8383800071557e-13	2.42009859451167e-10
ENSGMOG00000006004	2.15370738999932	1.23793034298048	4.28639018603254	192.698699147288	4.06677842650766e-13	2.4626422825718e-10
ENSGMOG00000006075	2.92224581359275	1.88474071104653	5.81077681719201	191.963887687843	4.20630658891054e-13	2.4626422825718e-10
ENSGMOG00000015968	2.63385948640388	1.501092934724	5.21831084094206	189.470444744098	4.72080634301853e-13	2.66855787521044e-10
ENSGMOG00000003387	2.3079833576262	1.68939330723786	6.19856608723623	187.980867475042	5.0612272721169e-13	2.76562328906041e-10
ENSGMOG00000008938	2.01526792758516	1.47432519463913	8.41742905101694	181.883641837426	6.76803113477176e-13	3.49078141904431e-10
ENSGMOG00000009328	2.4990096756686	0.888979878338875	4.16321288593144	181.743312542412	6.81418931308594e-13	3.49078141904431e-10
ENSGMOG00000009590	1.86667519474405	1.30785887246583	9.92781749909499	180.972584646963	7.07400454492752e-13	3.51406534863627e-10
ENSGMOG00000015277	1.47455656130982	0.730739545204216	5.99036257575318	178.641833106302	7.92891798617997e-13	3.82290448668965e-10
ENSGMOG00000018332	1.42220294962298	1.06021797306832	8.31789652799827	177.08036943985	8.56551580527368e-13	3.96492614833462e-10
ENSGMOG00000004283	1.42688788298418	0.584359420647231	6.61413435462563	176.750304127337	8.70721291649156e-13	3.96492614833462e-10
ENSGMOG00000012153	1.69545089143296	0.37530993103267	7.37717429938677	174.557440676268	9.71725270434637e-13	4.30526820492838e-10
ENSGMOG00000005936	2.86146753386392	3.05797747394526	7.57525272318425	173.575589861813	1.02110337951611e-12	4.40498623694939e-10
ENSGMOG00000014170	2.0217767986349	1.04948734092518	9.29305986530342	172.858694173034	1.05891272100528e-12	4.45096313729217e-10
ENSGMOG00000000372	2.36187773200862	1.51502939491226	6.79988795872624	171.879328619303	1.11309588336597e-12	4.56174520400458e-10
ENSGMOG00000015901	2.10101341698209	0.987198036523525	5.63597431391592	169.660019017194	1.24761492122491e-12	4.98832961064388e-10
ENSGMOG00000003775	1.53630551099181	0.329759650856572	5.62407065729383	168.224874343135	1.34415608572003e-12	5.24636921743057e-10
ENSGMOG00000006506	1.6873979376094	0.967665057187537	6.0170373073057	165.901860259539	1.51845970020177e-12	5.78886275939712e-10
ENSGMOG00000002523	1.28223377616427	0.609036884191249	6.97688667251457	165.390844541038	1.56007755739211e-12	5.79070753792653e-10
ENSGMOG00000009149	1.57386179925035	0.846683845723688	6.3402062193403	164.593850949375	1.62753192049272e-12	5.79070753792653e-10
ENSGMOG00000004103	1.9565334249821	1.36102352472034	6.39532963864988	164.248687033486	1.65774290535948e-12	5.79070753792653e-10
ENSGMOG00000019350	2.04165583268651	1.01940819721096	7.29906721741158	164.220462179951	1.66024067762183e-12	5.79070753792653e-10
ENSGMOG00000008808	2.2024286542087	2.0797850998388	4.11934968256277	160.860701514495	1.98964270392635e-12	6.79504434280515e-10
ENSGMOG00000007466	1.72724356634613	1.20933759733842	6.77683448287697	159.660848733365	2.12433627886952e-12	7.10698869785877e-10
ENSGMOG00000017517	1.79476703042882	1.55889052127897	6.24539093607487	157.835785899457	2.34900962930877e-12	7.70146297065172e-10
ENSGMOG00000017408	1.78638273544922	0.997029118821467	7.75592843927081	156.617207110402	2.51364275272343e-12	7.95813410684592e-10
ENSGMOG00000007060	2.01086430320049	0.923610285386998	6.76782006056401	156.540766994148	2.52438829717555e-12	7.95813410684592e-10
ENSGMOG00000019024	1.60176603231075	1.08925626437246	7.27114648039174	155.284594201475	2.70846822729975e-12	8.37734333021223e-10
ENSGMOG00000007282	1.62235020515146	0.783401092951881	7.88650246772939	153.917982419142	2.92580196867299e-12	8.59499478747701e-10
ENSGMOG00000018157	2.03898068877151	1.03850363425049	6.81286441810543	153.865615885373	2.93450590795164e-12	8.59499478747701e-10
ENSGMOG00000001526	1.50878844646024	0.36245939123882	8.22137579052893	153.85586675537	2.93612949489851e-12	8.59499478747701e-10
ENSGMOG00000009191	1.58350624114032	0.719519116167464	5.05313289103776	151.821624493216	3.29773244444354e-12	9.44887420097624e-10
ENSGMOG00000008008	2.27003782640244	1.17147489254939	4.54297359940573	151.436506570593	3.37160211044896e-12	9.44887420097624e-10
ENSGMOG00000012189	1.55247846250078	0.66384570534277	4.52626597663545	151.287152582441	3.40074164495576e-12	9.44887420097624e-10
ENSGMOG00000016647	1.85592017167946	1.23476326877198	4.54091245679833	150.787681922887	3.50023598443787e-12	9.56322808214833e-10
ENSGMOG00000017462	2.18497584798847	0.699310812106231	5.66297461553845	150.370237257596	3.58586816240719e-12	9.63657980103952e-10
ENSGMOG00000003331	1.51485261785756	0.725660993549474	5.55155806626146	148.509972583919	3.99676330056986e-12	1.04753643151202e-09
ENSGMOG00000000487	2.42816787790778	1.24524057824682	4.7383878860728	148.386654960405	4.02579120266317e-12	1.04753643151202e-09
ENSGMOG00000017303	1.72253601037179	1.07169436905719	9.17205043181163	147.82832947074	4.16017224103239e-12	1.06558911792569e-09
ENSGMOG00000007401	3.4610340502821	1.81325290022496	3.75555074764233	147.107687287461	4.34102399586993e-12	1.0948062517584e-09
ENSGMOG00000005423	1.77993921611287	1.04241248411352	5.54972968398974	144.535650067997	5.06120309866845e-12	1.2519039760172e-09
ENSGMOG00000015429	1.27505300695737	0.597150555392721	5.92853622875101	144.341826155299	5.12061758077779e-12	1.2519039760172e-09
ENSGMOG00000015209	1.53726734126165	0.826913548254624	5.62425865627642	143.868187772563	5.26908433152262e-12	1.2519039760172e-09
ENSGMOG00000007456	1.64068273627483	0.869948982077442	5.53068705068972	143.867177365839	5.26940610902132e-12	1.2519039760172e-09
ENSGMOG00000013327	1.44461989507485	0.856497316981611	7.50449021811552	143.313229559932	5.44914137685365e-12	1.27611106558231e-09
ENSGMOG00000002124	2.26120139910365	1.00260883846148	4.15016584194614	141.43956381082	6.1093115168659e-12	1.40683668322626e-09
ENSGMOG00000017846	1.35364095876073	0.69872988317708	5.12634974421028	141.25500092976	6.17899354555545e-12	1.40683668322626e-09
ENSGMOG00000012054	1.2917594478067	0.586783303987545	5.31178418569693	139.983094888771	6.68384724119336e-12	1.49006849393195e-09
ENSGMOG00000003965	2.69040348273845	2.11475084638531	4.84836783060469	139.880906431708	6.72635079308025e-12	1.49006849393195e-09
ENSGMOG00000012835	2.06881215365131	0.804676123730272	3.88885224493602	139.348272905679	6.95279588750468e-12	1.51969577311819e-09
ENSGMOG00000002255	1.98048904479122	0.715163255933985	4.69029291103993	138.722397702741	7.22974176155138e-12	1.55943627233042e-09
ENSGMOG00000007890	2.25140227961173	0.919728696968314	3.61670766622172	137.312276662076	7.89961977570468e-12	1.68179827250814e-09
ENSGMOG00000001992	2.93587981819293	1.82952446666165	4.19332893529824	135.955952454233	8.6093897521489e-12	1.79512243315114e-09
ENSGMOG00000013551	2.12281437697539	1.13303743420557	3.98954676110772	135.880448088823	8.65092858042703e-12	1.79512243315114e-09
ENSGMOG00000010350	1.61084109741384	0.896041959344196	5.43208505947181	134.76883746384	9.28890340456533e-12	1.90341241888799e-09
ENSGMOG00000010495	1.65308798224209	0.833116208738615	7.19294132142897	134.409100167404	9.50639604908016e-12	1.92393025225396e-09
ENSGMOG00000012455	1.66693659482739	0.932010960181508	4.55009051734072	133.841990221288	9.86081495470769e-12	1.97132121405516e-09
